CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ANP1105,A,Lecture 1,1,14:30,16:00,MNT 203,HUMAN ANATOMY &amp; PHYSIOLOGY I,Frank Feiner
ANP1105,A,Lecture 2,4,16:00,17:30,MNT 203,HUMAN ANATOMY &amp; PHYSIOLOGY I,Frank Feiner
ANP1105,AP,Lecture 1,3,13:00,14:30,Pembroke,HUMAN ANATOMY &amp; PHYSIOLOGY I,Not available at this time.
ANP1105,AP,Lecture 2,5,13:00,14:30,Pembroke,HUMAN ANATOMY &amp; PHYSIOLOGY I,Not available at this time.
ANP1105,B,Lecture 1,1,16:00,17:30,UCU AUD,HUMAN ANATOMY &amp; PHYSIOLOGY I,Jacqueline Carnegie
ANP1105,B,Lecture 2,3,14:30,16:00,UCU AUD,HUMAN ANATOMY &amp; PHYSIOLOGY I,Jacqueline Carnegie
ANP1105,C,Lecture 1,2,11:30,13:00,UCU AUD,HUMAN ANATOMY &amp; PHYSIOLOGY I,Joanne Savory
ANP1105,C,Lecture 2,5,13:00,14:30,UCU AUD,HUMAN ANATOMY &amp; PHYSIOLOGY I,William Staines
ANP1105,E,Lecture 1,2,14:30,16:00,STE B0138,HUMAN ANATOMY &amp; PHYSIOLOGY I,Joanna Komorowski
ANP1105,E,Lecture 2,5,16:00,17:30,STE B0138,HUMAN ANATOMY &amp; PHYSIOLOGY I,Wafa Yahiaoui-Djerboua
ANP1505,A,Lecture 1,2,10:00,11:30,UCU AUD,ANATOMIE HUM. &amp; PHYSIOLOGIE I,Michel Désilets
ANP1505,A,Lecture 2,4,08:30,10:00,UCU AUD,ANATOMIE HUM. &amp; PHYSIOLOGIE I,Simon Lemaire
ANP1505,B,Lecture 1,1,16:00,17:30,SCR 002,ANATOMIE HUM. &amp; PHYSIOLOGIE I,Michel Désilets
ANP1505,B,Lecture 2,3,14:30,16:00,SCR 002,ANATOMIE HUM. &amp; PHYSIOLOGIE I,Simon Lemaire
PHA4507,,Lecture 1,1,13:00,14:30,SMD 222,INTRO PHARMACO-MÉDIC &amp; SYST,John Leddy
PHA4507,,Lecture 2,3,11:30,13:00,SMD 222,INTRO PHARMACO-MÉDIC &amp; SYST,Simon Lemaire
PHS3341,,Lecture 1,2,08:30,10:00,SCR 002,PHYSIOLOGY OF SENSATION,Stephen Gee
PHS3341,,Lecture 2,5,10:00,11:30,SCR 002,PHYSIOLOGY OF SENSATION,Jacqueline Carnegie
PHS4300,A,Lecture 1,1,08:30,11:30,RGN 2005,PATHOPHYSIOLOGY,Joanna Komorowski
PHS4300,AP,Lecture 1,1,13:00,14:30,Pembroke,PATHOPHYSIOLOGY,Not available at this time.
PHS4300,AP,Lecture 2,3,11:00,12:30,Pembroke,PATHOPHYSIOLOGY,Not available at this time.
PHS4300,B,Lecture 1,2,10:00,13:00,RGN 2003,PATHOPHYSIOLOGY,Frank Feiner
PHS4336,,Lecture 1,4,13:00,16:00,RGN 1007,REPRODUCTIVE PHYSIOLOGY,Jacqueline Carnegie
PHS4700,A,Lecture 1,1,13:00,14:30,RGN 3248,PATHOPHYSIOLOGIE,Michel Désilets
PHS4700,A,Lecture 2,2,13:00,14:30,RGN 3248,PATHOPHYSIOLOGIE,Not available at this time.
