CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
BCH3170,A,Lecture 1,2,11:30,13:00,MRN 150,MOLECULAR BIOLOGY,Odette Laneuville
BCH3170,A,Lecture 2,5,13:00,14:30,MRN 150,MOLECULAR BIOLOGY,Odette Laneuville
BCH3356,AA,Discussion Group 1,4,10:00,11:30,FTX 359,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Discussion Group 2,5,14:30,16:00,MRT 218,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Laboratory 1,1,11:30,17:30,BSC 211,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Laboratory 2,1,11:30,17:30,BSC 202,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Laboratory 3,2,13:00,19:00,BSC 211,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Laboratory 4,2,13:00,19:00,BSC 202,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Laboratory 5,3,11:30,17:30,BSC 202,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Laboratory 6,4,11:30,17:30,BSC 211,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3356,AA,Laboratory 7,4,11:30,17:30,BSC 202,MOLECULAR BIOLOGY LABORATORY,Luc Poitras
BCH3570,A,Lecture 1,2,10:00,11:30,DMS 1140,BIOLOGIE MOLÉCULAIRE,Odette Laneuville
BCH3570,A,Lecture 2,4,08:30,10:00,DMS 1140,BIOLOGIE MOLÉCULAIRE,Odette Laneuville
BCH3756,AA,Discussion Group 1,4,11:30,13:00,BSC 140,LAB. DE BIOLOGIE MOLÉCULAIRE,Luc Poitras
BCH3756,AA,Laboratory 1,1,11:30,17:30,BSC 211,LAB. DE BIOLOGIE MOLÉCULAIRE,Luc Poitras
BCH3756,AA,Laboratory 2,3,11:30,17:30,BSC 211,LAB. DE BIOLOGIE MOLÉCULAIRE,Luc Poitras
BCH4122,A,Lecture 1,2,17:30,19:00,FSS 1006,STRUCTURAL BIOLOGY OF PROTEINS,Mary Hefford
BCH4122,A,Lecture 2,4,17:30,19:00,FSS 1006,STRUCTURAL BIOLOGY OF PROTEINS,Mary Hefford
BCH4172,,Lecture 1,3,08:30,11:30,MRT 256,Topics in Biotechnology,Illimar Altosaar
BCH4172,,Discussion Group 1,2,13:00,14:30,FTX 359,Topics in Biotechnology,Illimar Altosaar
