CODE,SECTION,DATE,ROOM,PROFESSOR
AHL1100,B,1461524400,Not available at this time.,Brenda Macdougall
ALG1902,A,1461715200,Not available at this time.,Elizabeth Schwaiger
ALG1902,B,1461715200,Not available at this time.,Birgit Wirz-Endrys
ALG1902,C,1461715200,Not available at this time.,Seyed Mohammad Seyed Alavi
ALG1902,D,1461715200,Not available at this time.,Spaska Siderova
ALG2902,A,1461438000,Not available at this time.,Angela Bruckel-Lichtenoecker
ALG2902,B,1461438000,Not available at this time.,Seyed Mohammad Seyed Alavi
ALG3330,A,1461335400,Not available at this time.,Spaska Siderova
ALG3902,A,1461162600,Not available at this time.,Birgit Wirz-Endrys
AMT3301,A,1461456000,Not available at this time.,Catherine O'Grady
AMT3902,A,1461715200,Not available at this time.,Chantal Rodier
ARB1912,A,1461283200,Not available at this time.,Claude Rachid
ARB1912,B,1461283200,Not available at this time.,Afifa Haddad
ARB1912,C,1461283200,Not available at this time.,Afifa Haddad
ARB1912,D,1461283200,Not available at this time.,Claude Rachid
ARB2102,A,1461369600,Take Home Exam,Kamal Dib
ARB2912,A,1461767400,Not available at this time.,Afifa Haddad
ARB3901,A,1460678400,Not available at this time.,Georges Abou-Hsab
ARB3912,A,1460764800,Not available at this time.,Abdallah Obeid
ART1311,B,1461072600,Not available at this time.,
ART1311,C,1460640600,Not available at this time.,
ART1321,B,1460986200,Not available at this time.,
ART1321,C,1460727000,Not available at this time.,
ART1331,B,1460554200,Not available at this time.,
ART1331,B,1460554200,Not available at this time.,
ART1341,B,1461072600,Not available at this time.,
ART1341,B,1461072600,Not available at this time.,
ART1731,A,1460986200,Not available at this time.,
ART1741,A,1460727000,Not available at this time.,
ART1741,A,1460727000,Not available at this time.,
ART2361,A,1461456000,Take Home Exam,Christine Conley
ART2761,A,1461456000,Not available at this time.,Christina Martinez
ART2913,A,1460727000,Not available at this time.,
ART2916,A,1460986200,Not available at this time.,
ART2925,A,1461072600,Not available at this time.,
ART2932,B,1460554200,Not available at this time.,
ART2942,A,1460640600,Not available at this time.,
ART2942,A,1460640600,Not available at this time.,
ART2952,A,1460986200,Not available at this time.,
ART3116,A,1460764800,Not available at this time.,Ryan Stec
ART3171,A,1460903400,Not available at this time.,Francine Dagenais
ART3181,A,1461076200,Not available at this time.,Andrea Fitzpatrick
ART3571,A,1460903400,Not available at this time.,Cara Tierney
ART3581,A,1460851200,Not available at this time.,Jakub Zdebik
ART3917,A,1460554200,Not available at this time.,
ART3926,A,1460640600,Not available at this time.,
ART3927,A,1460640600,Not available at this time.,
ART3933,A,1461072600,Not available at this time.,
ART3934,A,1460640600,Not available at this time.,
ART3945,A,1461418200,Not available at this time.,
ART3945,A,1461418200,Not available at this time.,
ART3953,A,1460745000,Not available at this time.,
ART4118,A,1460644200,Take Home Exam,Andrea Fitzpatrick
ART4515,A,1461351600,Not available at this time.,Yves Laberge
ART4955,A,1461178800,Not available at this time.,
ART4955,B,1461178800,Not available at this time.,
ART4989,A,1461090600,Not available at this time.,
ART4989,A,1461090600,Not available at this time.,
ART4989,B,1460658600,Not available at this time.,
ART4989,B,1460658600,Not available at this time.,
CDN1500,A,1461265200,Not available at this time.,Yves Laberge
CDN2105,A,1461628800,Not available at this time.,Pierre Anctil
