CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
CEG3156,A,Lecture 1,1,10:00,11:30,LPR 154,COMPUTER SYSTEMS DESIGN,Miodrag Bolic
CEG3156,A,Lecture 2,3,08:30,10:00,LPR 154,COMPUTER SYSTEMS DESIGN,Miodrag Bolic
CEG3156,A,Laboratory 1,3,11:30,14:30,STE 2061,COMPUTER SYSTEMS DESIGN,Not available at this time.
CEG3156,A,Tutorial 1,5,11:30,13:00,CBY E015,COMPUTER SYSTEMS DESIGN,Not available at this time.
CEG3185,A,Lecture 1,2,10:00,11:30,DMS 1140,INTRO DATA COMM. &amp; NETWORKING,Jiying Zhao
CEG3185,A,Lecture 2,4,08:30,10:00,DMS 1140,INTRO DATA COMM. &amp; NETWORKING,Jiying Zhao
CEG3185,A,Laboratory 1,2,14:30,16:00,CBY B402,INTRO DATA COMM. &amp; NETWORKING,Not available at this time.
CEG3185,A,Laboratory 2,3,08:30,10:00,CBY B402,INTRO DATA COMM. &amp; NETWORKING,Not available at this time.
CEG3185,A,Laboratory 3,3,10:00,11:30,CBY B402,INTRO DATA COMM. &amp; NETWORKING,Not available at this time.
CEG3185,A,Tutorial 1,3,14:30,16:00,MRT 212,INTRO DATA COMM. &amp; NETWORKING,Not available at this time.
CEG3556,A,Lecture 1,1,10:00,11:30,DMS 10143,CONC. AVANCEE DES SYST. INF.,Rami Abielmona
CEG3556,A,Lecture 2,3,08:30,10:00,VNR 3075,CONC. AVANCEE DES SYST. INF.,Rami Abielmona
CEG3556,A,Laboratory 1,3,11:30,14:30,STE 2061,CONC. AVANCEE DES SYST. INF.,Not available at this time.
CEG3556,A,Tutorial 1,5,11:30,13:00,STE F0126,CONC. AVANCEE DES SYST. INF.,Not available at this time.
CEG3585,A,Lecture 1,3,10:00,11:30,MRT 221,COMM. DONNÉES ET RÉSEAUTAGE,Miguel A. Garzon Torres
CEG3585,A,Lecture 2,5,08:30,10:00,MRT 221,COMM. DONNÉES ET RÉSEAUTAGE,Miguel A. Garzon Torres
CEG3585,A,Laboratory 1,2,17:30,19:00,CBY B402,COMM. DONNÉES ET RÉSEAUTAGE,Not available at this time.
CEG3585,A,Tutorial 1,3,14:30,16:00,LMX 223,COMM. DONNÉES ET RÉSEAUTAGE,Not available at this time.
CEG4166,A,Lecture 1,1,13:00,14:30,MCD 121,REAL-TIME SYSTEMS DESIGN,Gilbert Arbez
CEG4166,A,Lecture 2,3,11:30,13:00,MCD 121,REAL-TIME SYSTEMS DESIGN,Gilbert Arbez
CEG4166,A,Laboratory 1,3,19:00,22:00,STE 2061,REAL-TIME SYSTEMS DESIGN,Not available at this time.
CEG4166,A,Tutorial 1,2,08:30,10:00,SMD 430,REAL-TIME SYSTEMS DESIGN,Not available at this time.
CEG4190,A,Lecture 1,2,11:30,13:00,STE J0106,COMPUTER NETWORK DESIGN,Dimitrios Makrakis
CEG4190,A,Lecture 2,5,13:00,14:30,STE J0106,COMPUTER NETWORK DESIGN,Dimitrios Makrakis
CEG4190,A,Laboratory 1,1,17:30,20:30,CBY B402,COMPUTER NETWORK DESIGN,Not available at this time.
CEG4190,A,Tutorial 1,5,14:30,16:00,STE F0126,COMPUTER NETWORK DESIGN,Not available at this time.
CEG4396,A,Lecture 1,1,11:30,13:00,CBY B202,COMPUTER NETWORK MANAGEMENT,Dimitrios Makrakis
CEG4396,A,Lecture 2,4,13:00,14:30,CBY B202,COMPUTER NETWORK MANAGEMENT,Dimitrios Makrakis
