CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ADM6260,A,Seminar 1,2,16:00,19:00,Consult the department,PROJECT MANAGEMENT I,Lavagnon Ika
ADM6260,A,Seminar 2,4,16:00,19:00,Consult the department,PROJECT MANAGEMENT I,Lavagnon Ika
ADM6260,C,Lecture 1,4,19:00,22:00,DMS 4170,PROJECT MANAGEMENT I,Not available at this time.
ADM6260,D,Lecture 1,5,10:00,13:00,DMS 4120,PROJECT MANAGEMENT I,Lavagnon Ika
ADM6261,A,Seminar 1,2,16:00,19:00,Consult the department,PROJECT MANAGEMENT II,Lavagnon Ika
ADM6261,A,Seminar 2,4,16:00,19:00,Consult the department,PROJECT MANAGEMENT II,Lavagnon Ika
ADM6261,C,Lecture 1,4,19:00,22:00,DMS 4170,PROJECT MANAGEMENT II,Not available at this time.
ADM6261,D,Lecture 1,5,10:00,13:00,DMS 4120,PROJECT MANAGEMENT II,Lavagnon Ika
ADM6275,C,Lecture 1,3,16:00,19:00,DMS 4120,BUS. INT. TECH &amp; BIG DATA ANAL,Bijan Raahemi
ADM6277,C,Lecture 1,1,16:00,19:00,DMS 4140,E-BUSINESS ENERGY MANAGEMENT,David Wright
ADM6279,C,Lecture 1,3,16:00,19:00,DMS 4120,SOCIO-TECHNICAL CHANGE,Abdelkrim Hamou-Lhadj
ADM6420,C,Lecture 1,4,16:00,19:00,DMS 4120,ELECTRONIC MARKETING,Karen De Libero
ANT6101,A,Seminar 1,4,11:30,14:30,FSS 4013,POL. ANTHRO. &amp; SOCIO-CULT.,Larisa Kurtovic
ANT6503,A,Seminar 1,2,14:30,17:30,FSS 8003,QUEST NOTION «CULT» EN ANTHROP,Stéphane Vibert
ANT6550,A,Seminar 1,4,08:30,11:30,FSS 11003,PROBL. RECHERCHE EN ANTHROPOL.,Vincent Mirza
APA5104,,Lecture 1,4,14:30,17:30,SMD 429,Sport and Physical Activity in,George Karlis
APA5106,,Seminar 1,2,14:30,17:30,THN 054,MENTAL SKILLS TRAINING FOR,Natalie Durand-Bush
APA5303,,Lecture 1,3,08:30,11:30,THN 054,MARKETING AND SPONSORSHIP OF,Benoit Séguin
APA5306,,Seminar 1,1,08:30,11:30,LMX 405,Ethics and Values in Sport and,Iain McKenna
APA5308,,Lecture 1,3,14:30,17:30,LEE C104,ORGANIZATIONAL BEHAVIOUR IN,François Gravelle
APA5315,,Seminar 1,2,09:30,12:30,CBY E015,SEMINAR: CONSULTATION AND,Tanya Forneris
APA5317,,Seminar 1,4,08:30,11:30,DMS 8143,SEMINAR: PROFESSIONAL,Michael Naraine
