CODE,SECTION,DATE,ROOM,PROFESSOR
ANT6101,A,1460642400,Take Home Exam,
ANT6503,A,1461006000,Take Home Exam,
API5126,A,1461076200,Not available at this time.,
API5126,B,1461076200,Not available at this time.,
API5126,C,1461076200,Not available at this time.,
API5136,A,1460833200,Not available at this time.,
API5136,B,1460833200,Not available at this time.,
API5136,C,1460833200,Not available at this time.,
API5526,A,1461681000,Not available at this time.,
API5536,A,1460833200,Not available at this time.,
API6319,B,1461681000,Not available at this time.,
API6339,K,1461767400,Not available at this time.,
BIO5311,,1461610800,Not available at this time.,Rees Kassen
BIO8102,S,1460644200,Not available at this time.,
BIO8938,,1460746800,Take Home Exam,John Arnason
BMG5109,,1460678400,Not available at this time.,Hilmi Dajani
BMG5330,,1461783600,Not available at this time.,Riadh Habash
BNF6100,,1461351600,Not available at this time.,
CHG8161,W,1461092400,Not available at this time.,Marten Ternan
CHG8191,L,1461351600,Not available at this time.,Olena Baranova
CHG8194,W,1461610800,Not available at this time.,Boguslaw Kruczek
CHG8195,W,1461438000,Not available at this time.,Andrew Sowinski
CHM8314,,1460746800,Not available at this time.,Barry Macdougall
CMN5110,C,1460743200,Take Home Exam,
CMN5131,C,1460397600,Take Home Exam,
CMN5132,C,1460728800,Take Home Exam,
CMN5133,C,1461081600,Take Home Exam,
CMN5135,C,1461261600,Take Home Exam,
CMN5140,C,1461002400,Take Home Exam,Daniel Paré
CMN5170,C,1460570400,Take Home Exam,
CMN5520,C,1459458000,Take Home Exam,
CMN5532,C,1460746800,Take Home Exam,
CMN5535,C,1460656800,Take Home Exam,
CMN5995,C,1460772000,Take Home Exam,
CRM6320,A,1460644200,Not available at this time.,Cheryl Webster
CRM6320,B,1460644200,Not available at this time.,Cheryl Webster
CRM6325,A,1460991600,Take Home Exam,Maritza Felices-Luna
CRM6325,B,1461596400,Take Home Exam,Maritza Felices-Luna
CRM6380,C,1461688200,Take Home Exam,Justin Piché
CRM6759,A,1460660400,Not available at this time.,Ronald-Frans Melchers
CRM6780,C,1460656800,Take Home Exam,Martin Dufresne
CRM8100,A,1461340800,Take Home Exam,Steven Bittle
CRM8500,A,1460656800,Take Home Exam,Martin Dufresne
CSI5118,,1461681000,Not available at this time.,Stéphane Some
CSI5122,,1461076200,Not available at this time.,Timothy Lethbridge
CSI5149,,1461283200,Not available at this time.,Yongyi Mao
CSI5166,,1460833200,Not available at this time.,Sylvia Boyd
CSI5311,,1461594600,Not available at this time.,Herna Viktor
CSI6900,,1461421800,Not available at this time.,
CSI7162,S,1461783600,Not available at this time.,Robert Weisman
CSI9997,S,1461421800,Not available at this time.,
CSI9998,S,1461783600,Not available at this time.,
CVG5134,W,1461697200,Not available at this time.,Ronald Droste
CVG5161,W,1461006000,Not available at this time.,Sai Vanapalli
CVG6307,W,1461783600,Not available at this time.,Hassan Aoude
DCL5510,E,1461610800,Not available at this time.,Mistrale Goudreau
DCL5529,,1460644200,Not available at this time.,
DCL5610,,1461249000,Not available at this time.,Mistrale Goudreau
DCL6339,B,1461681000,Not available at this time.,
DVM6103,A,1460761200,Take Home Exam,
DVM6104,A,1461013200,Take Home Exam,
DVM6502,A,1461101400,Take Home Exam,
DVM6503,A,1461790800,Take Home Exam,
ECO5185,B,1460903400,Not available at this time.,Kathleen Day
ECO6120,B,1461092400,Not available at this time.,Francesca Rondina
ECO6122,C,1461767400,Not available at this time.,Michael Shiell
ECO6130,A,1461421800,Not available at this time.,Jean-François Tremblay
ECO6134,A,1460817000,Not available at this time.,Jean-Thomas Bernard
ECO6142,A,1461335400,Not available at this time.,Gamal Atallah
ECO6171,A,1460660400,Not available at this time.,Paul Makdissi
ECO6174,A,1460730600,Not available at this time.,Myra Yazbeck
ECO6175,A,1461610800,Not available at this time.,Abel Brodeur
ECO6181,B,1461265200,Not available at this time.,Francesca Rondina
ECO6193,A,1461438000,Not available at this time.,Louis-Philippe Morin
ECO6520,A,1461092400,Not available at this time.,Yazid Dissou
ECO7922,A,1461681000,Not available at this time.,Aggey Semenov
EDU5602,C,1460644200,Not available at this time.,Mboyo Onehese
EDU6473,S3,1460660400,Not available at this time.,Julia Di Millo
ELG5119,,1461594600,Not available at this time.,Peter Galko
ELG5131,,1461283200,Not available at this time.,Yongyi Mao
ELG5195,,1461006000,Not available at this time.,Rami Abielmona
ELG5373,,1460919600,Not available at this time.,Carlisle Adams
ELG5377,,1461594600,Not available at this time.,Martin Bouchard
ELG5378,,1461681000,Not available at this time.,Jiying Zhao
ELG6373,,1460577600,Take Home Exam,Karin Hinzer
ELG7172,,1460678400,Not available at this time.,Hilmi Dajani
ELG7173,D,1461110400,Not available at this time.,Siarhei Loika
EMP5109,A,1460678400,Not available at this time.,Andrew Faulkner
EMP5109,M,1461438000,Not available at this time.,François Robitaille
EVD7999,S,1460746800,Not available at this time.,
FEM6100,B,1460646000,Take Home Exam,
GEO5153,B,1460833200,Not available at this time.,Bahram Daneshfar
MAT5133,,1461767400,Not available at this time.,Arian Novruzi
MAT5142,,1461767400,Not available at this time.,David Handelman
MAT5152,,1461610800,Not available at this time.,Richard Blute
MAT5171,,1460989800,Not available at this time.,Raluca Balan
MAT5319,,1461783600,Not available at this time.,Tanya Schmah
MAT5375,,1461594600,Not available at this time.,Chen Xu
MCG5115,W,1461715200,Not available at this time.,Ali Khanafer
MCG5119,W,1461369600,Not available at this time.,Nafisa Bano
MCG5138,K,1461801600,Not available at this time.,Mohammed Yandouzi
MCG5138,L,1461628800,Not available at this time.,Ali Momenimovahed
MCG5138,M,1461438000,Not available at this time.,François Robitaille
MUS5901,A,1461105000,Take Home Exam,
MUS6950,B,1460757600,Take Home Exam,
ORA5522,,1461186000,Not available at this time.,Erin McSweeney
ORA6510,,1460656800,Not available at this time.,Agathe Rhéaume
ORA6523,,1460728800,Not available at this time.,Josée Lagacé
ORA6544,,1460667600,Not available at this time.,Yves Beauregard
ORA6713,,1460728800,Not available at this time.,Laurie-Ann Staniforth
ORA6744,,1460642400,Not available at this time.,Sharon Burgess
ORA6745,,1461002400,Not available at this time.,Véronique Légaré
ORA6752,,1460642400,Not available at this time.,Agathe Rhéaume
PHY5322,,1461092400,Not available at this time.,Bela Joos
POL6101,A,1461697200,Not available at this time.,
POL7108,A,1461421800,Not available at this time.,
POL7109,A,1461610800,Not available at this time.,
POL7119,A,1461438000,Not available at this time.,
POL7504,A,1461681000,Not available at this time.,
POL7506,A,1461421800,Not available at this time.,
POL7511,A,1461610800,Not available at this time.,
POL7514,A,1461783600,Not available at this time.,
SOC6501,A,1460772000,Take Home Exam,
SOC7141,A,1461351600,Take Home Exam,
SOC7171,A,1461765600,Take Home Exam,
SOC7541,A,1461607200,Take Home Exam,
SOC7550,A,1461765600,Take Home Exam,
SOC7556,A,1461090600,Take Home Exam,
SYS5100,,1461283200,Not available at this time.,Riadh Habash
SYS5120,,1461369600,Not available at this time.,Gilles Lamothe
