CODE,SECTION,DATE,ROOM,PROFESSOR
APA1122,A,1461369600,Not available at this time.,Audrey Giles
APA1302,A,1461767400,Not available at this time.,Michael Robidoux
APA1302,A,1461767400,Not available at this time.,Michael Robidoux
APA1522,A,1461369600,Not available at this time.,Michael Spivock
APA1702,A,1461767400,Not available at this time.,Karine Henrie
APA2114,A,1461783600,Not available at this time.,Natalie Elliott
APA2134,A,1461508200,Not available at this time.,Michael Mark Dottori
APA2180,A,1461265200,Not available at this time.,Tanya Forneris
APA2180,A,1461265200,Not available at this time.,Tanya Forneris
APA2301,A,1461076200,Not available at this time.,Glen Kenny
APA2302,A,1461162600,Not available at this time.,Eileen O'Connor
APA2312,A,1461594600,Not available at this time.,Kristi Adamo
APA2314,A,1460644200,Not available at this time.,
APA2314,A,1460644200,Not available at this time.,
APA2314,B,1460644200,Not available at this time.,
APA2314,B,1460644200,Not available at this time.,
APA2314,C,1460644200,Not available at this time.,
APA2314,C,1460644200,Not available at this time.,
APA2314,D,1460644200,Not available at this time.,
APA2314,D,1460644200,Not available at this time.,
APA2314,E,1460644200,Not available at this time.,
APA2314,E,1460644200,Not available at this time.,
APA2314,F,1460644200,Not available at this time.,
APA2314,F,1460644200,Not available at this time.,
APA2314,H,1460644200,Not available at this time.,
APA2314,H,1460644200,Not available at this time.,
APA2514,A,1461783600,Not available at this time.,Julie Nantel
APA2534,A,1461508200,Not available at this time.,François Rodrigue
APA2580,A,1461283200,Not available at this time.,Michelle Fortier
APA2701,A,1461076200,Not available at this time.,Pascal Imbeault
APA2702,A,1461162600,Not available at this time.,Hugues Théorêt
APA2712,A,1461594600,Not available at this time.,François Haman
APA2714,A,1460644200,Not available at this time.,
APA2714,A,1460644200,Not available at this time.,
APA2714,B,1460644200,Not available at this time.,
APA2714,B,1460644200,Not available at this time.,
APA2714,D,1460644200,Not available at this time.,
APA2714,D,1460644200,Not available at this time.,
APA3111,A,1461335400,Not available at this time.,Bradley Young
APA3122,A,1460644200,Not available at this time.,Martin Camiré
APA3122,A,1460644200,Not available at this time.,Martin Camiré
APA3124,A,1461715200,Not available at this time.,Éric Doucet
APA3124,A,1461715200,Not available at this time.,Éric Doucet
APA3125,A,1460730600,Not available at this time.,Janie Cournoyer
APA3125,A,1460730600,Not available at this time.,Janie Cournoyer
APA3301,A,1429367400,Take Home Exam,Christine Dallaire
APA3324,B,1461249000,Not available at this time.,Carla Geurts
APA3513,A,1460739600,Take Home Exam,Milena Parent
APA3519,A,1461801600,Not available at this time.,André Lachance
APA3521,A,1460833200,Not available at this time.,Natalie Richer
APA3524,A,1461715200,Not available at this time.,Éric Doucet
APA3524,A,1461715200,Not available at this time.,Éric Doucet
APA3525,A,1461006000,Not available at this time.,Steve Pelletier
