CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ANT2103,B,Lecture 1,3,13:00,14:30,MRT 218,SOCIO ANTHRO OF THE FAMILY,Kristen Tole
ANT2103,B,Lecture 2,5,11:30,13:00,MRT 218,SOCIO ANTHRO OF THE FAMILY,Kristen Tole
ANT2108,C,Lecture 1,3,08:30,11:30,VNR 1075,FIELDWORK,Julie Laplante
ANT2113,A,Lecture 1,1,11:30,13:00,VNR 5070,TECHNIQUES,CULTURES, ENVIRONME,Liam Kilmurray
ANT2113,A,Lecture 2,4,13:00,14:30,VNR 5070,TECHNIQUES,CULTURES, ENVIRONME,Liam Kilmurray
ANT2128,A,Lecture 1,1,13:00,14:30,CBY D207,ANT. FOR THE 21ST CENTURY,Larisa Kurtovic
ANT2128,A,Lecture 2,3,11:30,13:00,CBY D207,ANT. FOR THE 21ST CENTURY,Larisa Kurtovic
ANT2508,A,Lecture 1,1,08:30,11:30,MCD 121,L'ENQUÊTE DE TERRAIN SOC&amp;ANT;,Vincent Mirza
ANT2513,A,Lecture 1,2,14:30,17:30,ART 257,TECHNIQUES, CULTURES &amp; MILIEUX,Jean-Paul Mbuya Mutombo
ANT2528,A,Lecture 1,4,19:00,22:00,CBY B205,ANTHROPO. POUR LE 21E SIÈCLE,David Jaclin
ANT3133,A,Lecture 1,5,11:30,14:30,MRT 250,MEDICAL ANTHROPOLOGY,Hope Maclean
ANT3143,A,Lecture 1,2,13:00,14:30,VNR 3075,VISUAL ANTHROPOLOGY,Mary Margaret (Meg) Stalcup
ANT3143,A,Lecture 2,4,11:30,13:00,VNR 3075,VISUAL ANTHROPOLOGY,Mary Margaret (Meg) Stalcup
ANT3340,A,Lecture 1,1,11:30,13:00,VNR 2075,ANTHRO LATIN AMER. &amp; CARIBBEAN,Deborah Sick
ANT3340,A,Lecture 2,4,13:00,14:30,VNR 2075,ANTHRO LATIN AMER. &amp; CARIBBEAN,Deborah Sick
ANT3533,A,Lecture 1,2,16:00,19:00,FTX 227,ANTHROPOLOGIE DE LA SANTÉ,Julie Laplante
ANT3540,A,Lecture 1,1,16:00,17:30,VNR 3035,CULTURES ET SOCIÉTÉS,Stéphane Vibert
ANT3540,A,Lecture 2,3,14:30,16:00,VNR 3035,CULTURES ET SOCIÉTÉS,Stéphane Vibert
ANT3742,A,Lecture 1,2,11:30,13:00,VNR 3035,ANTHROPOLOGIE DE L'AFRIQUE,Nuah Makungu Masudi
ANT3742,A,Lecture 2,5,13:00,14:30,VNR 3035,ANTHROPOLOGIE DE L'AFRIQUE,Nuah Makungu Masudi
