CODE,SECTION,DATE,ROOM,PROFESSOR
ADM1100,M,1460934000,Not available at this time.,Patrick Woodcock
ADM1100,M,1460937600,Not available at this time.,Patrick Woodcock
ADM1100,N,1460937600,Not available at this time.,Patrick Woodcock
ADM1100,N,1460937600,Not available at this time.,Patrick Woodcock
ADM1101,M,1461369600,Not available at this time.,Joseph Audi
ADM1300,M,1460937600,Not available at this time.,Gerard Brathwaite-Sturgeon
ADM1301,M,1461369600,Not available at this time.,Daina Mazutis
ADM1340,M,1461628800,Not available at this time.,Lamia Chourou
ADM1340,N,1461628800,Not available at this time.,Shujun Ding
ADM1340,P,1461628800,Not available at this time.,Lamia Chourou
ADM1340,Q,1461628800,Not available at this time.,Darlene Himick
ADM1340,R,1461628800,Not available at this time.,Devinder Gandhi
ADM1340,S,1461628800,Not available at this time.,Devinder Gandhi
ADM1340,T,1461628800,Not available at this time.,Richard Musselman
ADM1340,V,1461628800,Not available at this time.,Lamia Chourou
ADM1340,W,1461628800,Not available at this time.,Lamia Chourou
ADM1370,M,1461178800,Not available at this time.,Craig Kuziemsky
ADM1370,M,1461178800,Not available at this time.,Craig Kuziemsky
ADM1370,N,1461178800,Not available at this time.,Bijan Raahemi
ADM1370,N,1461178800,Not available at this time.,Bijan Raahemi
ADM1370,P,1461178800,Not available at this time.,Umar Ruhi
ADM1370,P,1461178800,Not available at this time.,Umar Ruhi
ADM1370,Q,1461178800,Not available at this time.,Sadiq Abbas
ADM1370,Q,1461178800,Not available at this time.,Sadiq Abbas
ADM1500,M,1460937600,Not available at this time.,Kouami Seli Apedome
ADM1500,M,1460937600,Not available at this time.,Kouami Seli Apedome
ADM1501,M,1461369600,Not available at this time.,Abdenour Slaouti
ADM1700,M,1460937600,Not available at this time.,Leslie-Anne Barber
ADM1701,M,1461369600,Not available at this time.,David Doloreux
ADM1740,M,1461628800,Not available at this time.,Walid Ben Amar
ADM1740,N,1461628800,Not available at this time.,Gilles Poirier
ADM1740,P,1461628800,Not available at this time.,Gilles Poirier
ADM1770,M,1461092400,Not available at this time.,Muriel Mignerat
ADM1770,N,1461092400,Not available at this time.,Muriel Mignerat
ADM1770,P,1461092400,Not available at this time.,Muriel Mignerat
ADM1770,P,1461092400,Not available at this time.,Muriel Mignerat
ADM2302,M,1460937600,Not available at this time.,Rim Jaber
ADM2302,N,1460937600,Not available at this time.,Jonathan Yu-Meng Li
ADM2302,P,1460937600,Not available at this time.,Jonathan Yu-Meng Li
ADM2302,Q,1460937600,Not available at this time.,Jonathan Yu-Meng Li
ADM2303,M,1461351600,Not available at this time.,Kevin Brand
ADM2303,N,1461351600,Not available at this time.,Sandra Schillo
ADM2303,N,1461351600,Not available at this time.,Sandra Schillo
ADM2303,P,1461351600,Not available at this time.,Sandra Schillo
ADM2304,M,1461542400,Not available at this time.,Namatié Traoré
ADM2304,N,1461542400,Not available at this time.,Tony Quon
ADM2304,P,1461542400,Not available at this time.,Namatié Traoré
ADM2304,Q,1461542400,Not available at this time.,Tony Quon
ADM2304,Q,1461542400,Not available at this time.,Tony Quon
ADM2304,R,1461542400,Not available at this time.,Namatié Traoré
ADM2304,S,1461542400,Not available at this time.,Surendranath Phansalker
ADM2313,M,1460730600,Not available at this time.,Mark Freel
ADM2313,M,1460730600,Not available at this time.,Mark Freel
ADM2320,M,1460678400,Not available at this time.,Marzena Cedzynski
ADM2320,N,1460678400,Not available at this time.,Marzena Cedzynski
ADM2320,P,1460678400,Not available at this time.,David Delcorde
ADM2320,Q,1460678400,Not available at this time.,David Delcorde
ADM2336,M,1461024000,Not available at this time.,Laurent Lapierre
ADM2336,N,1461024000,Not available at this time.,Alicia McMullan
ADM2336,P,1461024000,Not available at this time.,Bruce La Rochelle
ADM2337,M,1460764800,Not available at this time.,Catherine Elliott
ADM2337,N,1460764800,Not available at this time.,Silvia Bonaccio
ADM2337,N,1460764800,Not available at this time.,Silvia Bonaccio
ADM2337,P,1460764800,Not available at this time.,Silvia Bonaccio
ADM2337,Q,1460764800,Not available at this time.,Catherine Elliott
ADM2337,R,1460764800,Not available at this time.,Catherine Elliott
ADM2337,R,1460764800,Not available at this time.,Catherine Elliott
ADM2341,M,1461283200,Not available at this time.,Qiu Chen
ADM2341,N,1461283200,Not available at this time.,Fodil Adjaoud
ADM2341,P,1461283200,Not available at this time.,Fodil Adjaoud
ADM2341,Q,1461283200,Not available at this time.,James Kerr
ADM2341,R,1461283200,Not available at this time.,Qiu Chen
ADM2341,R,1461283200,Not available at this time.,Qiu Chen
ADM2342,M,1461456000,Not available at this time.,Brian Conheady
ADM2342,N,1461456000,Not available at this time.,Yang Li
ADM2342,P,1461456000,Not available at this time.,Brian Conheady
ADM2350,M,1460851200,Not available at this time.,William F. Rentz
ADM2350,N,1460851200,Not available at this time.,Chen Guo
ADM2350,N,1460851200,Not available at this time.,Chen Guo
ADM2350,P,1460851200,Not available at this time.,Chen Guo
ADM2350,Q,1460851200,Not available at this time.,Nord Mensah
ADM2350,Q,1460851200,Not available at this time.,Nord Mensah
ADM2350,R,1460851200,Not available at this time.,Yuri Khoroshilov
ADM2350,R,1460851200,Not available at this time.,Yuri Khoroshilov
ADM2350,S,1460851200,Not available at this time.,Yuri Khoroshilov
ADM2372,M,1461508200,Not available at this time.,Mirou Jaana
ADM2372,M,1461508200,Not available at this time.,Mirou Jaana
ADM2372,N,1461508200,Not available at this time.,Zikun Zhang
ADM2372,P,1461508200,Not available at this time.,Zikun Zhang
ADM2372,P,1461508200,Not available at this time.,Zikun Zhang
ADM2702,M,1460937600,Not available at this time.,Gilles Reinhardt
ADM2702,N,1460937600,Not available at this time.,Gilles Reinhardt
ADM2703,M,1461351600,Not available at this time.,Roger Chouinard
ADM2704,M,1461542400,Not available at this time.,François Gendron
ADM2704,N,1461542400,Not available at this time.,Namatié Traoré
ADM2704,P,1461542400,Not available at this time.,Paula Sauveur
ADM2720,M,1460678400,Not available at this time.,Vessela Zaykova
ADM2736,M,1461024000,Not available at this time.,Donat Boulerice
ADM2737,N,1460764800,Not available at this time.,Jeanne Doucet
ADM2737,P,1460764800,Not available at this time.,
ADM2741,M,1461283200,Not available at this time.,Fodil Adjaoud
ADM2741,M,1461283200,Not available at this time.,Fodil Adjaoud
ADM2741,N,1461283200,Not available at this time.,André Breault
ADM2741,P,1461283200,Not available at this time.,André Breault
ADM2742,N,1461456000,Not available at this time.,Bernard Guite
ADM2750,M,1460851200,Not available at this time.,Imed Chkir
ADM2750,N,1460851200,Not available at this time.,Imed Chkir
ADM2772,M,1461508200,Not available at this time.,Lysanne Lessard
ADM2772,M,1461508200,Not available at this time.,Lysanne Lessard
ADM2772,N,1461508200,Not available at this time.,Lysanne Lessard
ADM3301,M,1461265200,Not available at this time.,Rim Jaber
ADM3301,N,1461265200,Not available at this time.,Rim Jaber
ADM3301,P,1461265200,Not available at this time.,Rim Jaber
ADM3302,M,1461162600,Not available at this time.,Jonathan Linton
ADM3308,M,1461006000,Not available at this time.,Bijan Raahemi
ADM3318,M,1460903400,Not available at this time.,Abdoulkadre Ado
ADM3318,M,1460903400,Not available at this time.,Abdoulkadre Ado
ADM3318,N,1460903400,Not available at this time.,Anthony Brown
ADM3318,P,1460903400,Not available at this time.,Abdoulkadre Ado
ADM3319,M,1460746800,Not available at this time.,Sharon O'Sullivan
ADM3319,N,1460746800,Not available at this time.,John Palmer
