CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ALG1100,A,Lecture 1,2,11:30,13:00,VNR 1075,ROAD MAP GERM-SPEAK COUNTRIES,Joerg Esleben
ALG1100,A,Lecture 2,5,13:00,14:30,VNR 1075,ROAD MAP GERM-SPEAK COUNTRIES,Joerg Esleben
ALG1901,A,Lecture 1,1,08:30,10:00,SMD 422,COURS ÉLÉ ALLEMAND/ELEM GERM I,Angela Bruckel-Lichtenoecker
ALG1901,A,Lecture 2,4,10:00,11:30,SMD 422,COURS ÉLÉ ALLEMAND/ELEM GERM I,Angela Bruckel-Lichtenoecker
ALG1901,A,Discussion Group 1,1,10:00,11:00,MRT 015,COURS ÉLÉ ALLEMAND/ELEM GERM I,Angela Bruckel-Lichtenoecker
ALG1901,B,Lecture 1,2,10:00,11:30,MRT 251,COURS ÉLÉ ALLEMAND/ELEM GERM I,Birgit Wirz-Endrys
ALG1901,B,Lecture 2,4,08:30,10:00,MRT 251,COURS ÉLÉ ALLEMAND/ELEM GERM I,Birgit Wirz-Endrys
ALG1901,B,Discussion Group 1,2,09:00,10:00,TBT 317,COURS ÉLÉ ALLEMAND/ELEM GERM I,Birgit Wirz-Endrys
ALG1901,C,Lecture 1,1,13:00,14:30,SMD 422,COURS ÉLÉ ALLEMAND/ELEM GERM I,Seyed Mohammad Seyed Alavi
ALG1901,C,Lecture 2,3,11:30,13:00,SMD 422,COURS ÉLÉ ALLEMAND/ELEM GERM I,Seyed Mohammad Seyed Alavi
ALG1901,C,Discussion Group 1,3,13:00,14:00,MRT 252,COURS ÉLÉ ALLEMAND/ELEM GERM I,Seyed Mohammad Seyed Alavi
ALG1901,D,Lecture 1,2,11:30,13:00,TBT 327,COURS ÉLÉ ALLEMAND/ELEM GERM I,Birgit Wirz-Endrys
ALG1901,D,Lecture 2,5,13:00,14:30,TBT 327,COURS ÉLÉ ALLEMAND/ELEM GERM I,Birgit Wirz-Endrys
ALG1901,D,Discussion Group 1,5,12:00,13:00,DMS 3105,COURS ÉLÉ ALLEMAND/ELEM GERM I,Birgit Wirz-Endrys
ALG1901,E,Lecture 1,3,16:00,17:30,TBT 0021,COURS ÉLÉ ALLEMAND/ELEM GERM I,Alexandra McLeod
ALG1901,E,Lecture 2,5,14:30,16:00,TBT 317,COURS ÉLÉ ALLEMAND/ELEM GERM I,Alexandra McLeod
ALG1901,E,Discussion Group 1,5,13:30,14:30,TBT 317,COURS ÉLÉ ALLEMAND/ELEM GERM I,Alexandra McLeod
ALG1901,F,Lecture 1,1,17:30,19:00,TBT 319,COURS ÉLÉ ALLEMAND/ELEM GERM I,Antoine Sadia
ALG1901,F,Lecture 2,3,17:30,19:00,TBT 319,COURS ÉLÉ ALLEMAND/ELEM GERM I,Antoine Sadia
ALG1901,F,Discussion Group 1,1,19:00,20:00,TBT 319,COURS ÉLÉ ALLEMAND/ELEM GERM I,Antoine Sadia
ALG2501,A,Lecture 1,1,14:30,16:00,TBT 325,CULT ALLEMANDE CONTEMPORAINE,Agatha Schwartz
ALG2501,A,Lecture 2,4,16:00,17:30,TBT 325,CULT ALLEMANDE CONTEMPORAINE,Agatha Schwartz
ALG2901,A,Lecture 1,1,11:30,13:00,GSD 307,COURS INT ALLEMAND/INT GERM I,Angela Bruckel-Lichtenoecker
ALG2901,A,Lecture 2,4,13:00,14:30,SMD 423,COURS INT ALLEMAND/INT GERM I,Angela Bruckel-Lichtenoecker
ALG2901,A,Discussion Group 1,4,12:00,13:00,DMS 3105,COURS INT ALLEMAND/INT GERM I,Angela Bruckel-Lichtenoecker
ALG2901,B,Lecture 1,1,17:30,19:00,DMS 3105,COURS INT ALLEMAND/INT GERM I,Seyed Mohammad Seyed Alavi
ALG2901,B,Lecture 2,3,17:30,19:00,DMS 3105,COURS INT ALLEMAND/INT GERM I,Seyed Mohammad Seyed Alavi
ALG2901,B,Discussion Group 1,3,19:00,20:00,SMD 222,COURS INT ALLEMAND/INT GERM I,Seyed Mohammad Seyed Alavi
ALG3901,A,Lecture 1,2,13:00,14:30,LMX 407,ALL. AVANCE I/ADV.GERMAN I,Birgit Wirz-Endrys
ALG3901,A,Lecture 2,4,11:30,13:00,LMX 407,ALL. AVANCE I/ADV.GERMAN I,Birgit Wirz-Endrys
ALG3901,A,Discussion Group 1,4,13:00,14:00,LMX 407,ALL. AVANCE I/ADV.GERMAN I,Birgit Wirz-Endrys
AMT3301,C,Seminar 1,4,14:30,17:30,Consult the department,SELECTED TOPICS IN ART ADMIN.,Not available at this time.
AMT3901,A,Lecture 1,1,17:30,20:30,PRZ 307,GEST/ADMIN - ART &amp; CUL ORG I,Catherine O'Grady
AMT3903,A,Lecture 1,2,17:30,20:30,TBT 0019,TH CHOISIS SELECTED TOPICS,Guylaine Despatis
ARB1911,A,Lecture 1,1,10:00,11:30,TBT 315,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,A,Lecture 2,3,08:30,10:00,TBT 315,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,A,Discussion Group 1,1,09:00,10:00,MNT 204,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,B,Lecture 1,3,10:00,11:30,MRT 015,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,B,Lecture 2,5,08:30,10:00,MRT 015,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,B,Discussion Group 1,3,11:30,12:30,SMD 330,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,C,Lecture 1,2,13:00,14:30,FSS 6032,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,C,Lecture 2,4,11:30,13:00,TBT 317,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,C,Discussion Group 1,2,12:00,13:00,FSS 1005,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,D,Lecture 1,3,16:00,17:30,THN 124,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,D,Lecture 2,5,14:30,16:00,THN 124,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,D,Discussion Group 1,5,16:00,17:00,THN 124,COURS ÉLÉ ARABE/ELEM ARABIC I,Claude Rachid
ARB1911,E,Lecture 1,2,16:00,17:30,TBT 325,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,E,Lecture 2,4,14:30,16:00,TBT 325,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,E,Discussion Group 1,2,15:00,16:00,LPR 286,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,F,Lecture 1,1,17:30,19:00,LMX 106,COURS ÉLÉ ARABE/ELEM ARABIC I,Afifa Haddad
ARB1911,F,Lecture 2,3,17:30,19:00,LMX 106,COURS ÉLÉ ARABE/ELEM ARABIC I,Afifa Haddad
ARB1911,F,Discussion Group 1,3,19:00,20:00,LMX 106,COURS ÉLÉ ARABE/ELEM ARABIC I,Afifa Haddad
ARB1911,G,Lecture 1,2,17:30,19:00,SMD 330,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,G,Lecture 2,4,17:30,19:00,SMD 330,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB1911,G,Discussion Group 1,4,19:00,20:00,DMS 3105,COURS ÉLÉ ARABE/ELEM ARABIC I,Najwa Garzouzi
ARB2101,A,Lecture 1,1,19:00,22:00,UCU AUD,ARABIC CULTURE 1,Georges Abou-Hsab
ARB2911,A,Lecture 1,2,10:00,11:30,TBT 325,COURS INTER ARABE/INT ARABIC I,Claude Rachid
ARB2911,A,Lecture 2,4,08:30,10:00,TBT 325,COURS INTER ARABE/INT ARABIC I,Claude Rachid
ARB2911,A,Discussion Group 1,2,09:00,10:00,VNR 5070,COURS INTER ARABE/INT ARABIC I,Claude Rachid
ARB2911,B,Lecture 1,1,14:30,16:00,MRT 251,COURS INTER ARABE/INT ARABIC I,Afifa Haddad
ARB2911,B,Lecture 2,4,16:00,17:30,MRT 251,COURS INTER ARABE/INT ARABIC I,Afifa Haddad
ARB2911,B,Discussion Group 1,1,16:00,17:00,FSS 4012,COURS INTER ARABE/INT ARABIC I,Afifa Haddad
ARB3102,A,Lecture 1,2,17:30,19:00,TBT 325,SPEC TOPICS ARAB CAN STUDIES,May Telmissany
ARB3102,A,Lecture 2,4,17:30,19:00,TBT 325,SPEC TOPICS ARAB CAN STUDIES,May Telmissany
ARB3911,A,Lecture 1,1,17:30,19:00,TBT 325,COURS AV ARABE / ADV ARABIC I,Abdallah Obeid
ARB3911,A,Lecture 2,3,17:30,19:00,TBT 325,COURS AV ARABE / ADV ARABIC I,Abdallah Obeid
ARB3911,A,Discussion Group 1,3,19:00,20:00,TBT 325,COURS AV ARABE / ADV ARABIC I,Abdallah Obeid
ART1311,A,Laboratory 1,2,08:30,12:30,LRR 320,THE PAINTING FIELD,Jinny Yu
ART1321,A,Laboratory 1,1,08:30,12:30,LRR 01,THE AUTONOMOUS OBJECT,Carla Whiteside
ART1331,A,Laboratory 1,3,08:30,12:30,LRR 013,PHOTOGRAPH AND VISUAL CULTURE,Lorraine Gilbert
ART1331,C,Laboratory 1,1,08:30,12:30,LRR 013,PHOTOGRAPH AND VISUAL CULTURE,Chantal Gervais
ART1341,A,Laboratory 1,2,08:30,12:30,LRR 218,TIME-BASED ART,Dave Johnson
ART1341,C,Laboratory 1,5,08:30,12:30,LRR 218,TIME-BASED ART,Chantal Gervais
ART1711,A,Laboratory 1,4,08:30,12:30,LRR 320,L'ESPACE PEINT,Deborah Margo
ART1721,A,Laboratory 1,5,08:30,12:30,LRR 01,L'OBJET AUTONOME,Carla Whiteside
ART2360,A,Lecture 1,1,19:00,22:00,MCD 146,HISTORIES OF ART I,Christine Conley
ART2760,A,Lecture 1,3,14:30,17:30,TBT 325,HISTOIRES DE L'ART I,Christina Martinez
ART2914,A,Laboratory 1,1,08:30,12:30,LRR 302,PEINT. / PAINT. &amp; IMAGE II,Sarah Rooney
ART2915,A,Laboratory 1,5,08:30,12:30,LRR 302,PEINT&amp; CONT. I/PAINT.&amp; CONT. I,Andrew Morrow
ART2923,A,Laboratory 1,2,08:30,12:30,LRR 01,SCULPTURE TRANSFORMATION,Jennifer Macklem
ART2928,A,Laboratory 1,3,08:30,12:30,LRR 01,SCULP. CORPS / SCULP. AND BODY,David McDougall
ART2932,A,Laboratory 1,3,08:30,12:30,MRT 0022,PHOTO. NUM I / DIG. PHOTO I,Chantal Gervais
ART2934,A,Laboratory 1,4,08:30,12:30,MRT 0022,PHOTO. 4X5%%LARGE FORMAT PHOTO,Justin Wonnacott
ART2935,A,Laboratory 1,2,08:30,12:30,MRT 0022,MISE EN SCÈNE : PHOTO,Justin Wonnacott
ART2940,A,Laboratory 1,4,08:30,12:30,LRR 218,ART VIDÉO / VIDEO ART,Christopher Payne
ART2951,A,Laboratory 1,1,08:30,12:30,LRR 320,DESSIN I / DRAWING I,Jennifer Macklem
ART3170,A,Lecture 1,5,14:30,17:30,MRT 250,MODERN ART &amp; CRISIS OF REPRES.,Cara Tierney
ART3180,A,Lecture 1,4,14:30,17:30,FTX 232,ART AFTER MODERNISM,Celina Jeffery
