CODE,SECTION,DATE,ROOM,PROFESSOR
CEG3156,A,1461783600,Not available at this time.,Miodrag Bolic
CEG3185,A,1460919600,Not available at this time.,Jiying Zhao
CEG3185,A,1460919600,Not available at this time.,Jiying Zhao
CEG3556,A,1461783600,Not available at this time.,Rami Abielmona
CEG3585,A,1460919600,Not available at this time.,Miguel A. Garzon Torres
CEG3585,A,1460919600,Not available at this time.,Miguel A. Garzon Torres
CEG4166,A,1461076200,Not available at this time.,Gilbert Arbez
CEG4190,A,1460817000,Not available at this time.,Dimitrios Makrakis
CEG4396,A,1461178800,Not available at this time.,Dimitrios Makrakis
CEG4566,A,1461076200,Not available at this time.,Gilbert Arbez
CHG1125,A,1461508200,Not available at this time.,Holly Dole
CHG1125,A,1461508200,Not available at this time.,Holly Dole
CHG1525,A,1461508200,Not available at this time.,Marc Dubé
CHG1525,A,1461508200,Not available at this time.,Marc Dubé
CHG2314,A,1461594600,Not available at this time.,Boguslaw Kruczek
CHG2314,A,1461594600,Not available at this time.,Boguslaw Kruczek
CHG2714,A,1461594600,Not available at this time.,Olena Baranova
CHG3111,A,1461681000,Not available at this time.,Kathlyn Kirkwood
CHG3112,A,1460644200,Not available at this time.,F. Handan Tezel
CHG3112,A,1460644200,Not available at this time.,F. Handan Tezel
CHG3122,A,1461767400,Not available at this time.,Christopher Lan
CHG3127,A,1461265200,Not available at this time.,David Taylor
CHG3326,A,1460817000,Not available at this time.,Xudong Cao
CHG3326,A,1460817000,Not available at this time.,Xudong Cao
CHG4244,A,1461076200,Not available at this time.,Jules Thibault
CHG4307,A,1460746800,Not available at this time.,Graham Creedy
CHG4359,A,1460833200,Not available at this time.,Poupak Mehrani
CHG4360,A,1461767400,Not available at this time.,Benoit Lessard
CHG4361,B,1460660400,Not available at this time.,André Tremblay
CSI2101,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2101,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2101,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2101,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2101,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2101,B,1461335400,Not available at this time.,Wonsook Lee
CSI2101,B,1461335400,Not available at this time.,Wonsook Lee
CSI2101,B,1461335400,Not available at this time.,Wonsook Lee
CSI2101,B,1461335400,Not available at this time.,Wonsook Lee
CSI2101,B,1461335400,Not available at this time.,Wonsook Lee
CSI2120,A,1460660400,Not available at this time.,Jochen Lang
CSI2132,A,1460833200,Not available at this time.,Herna Viktor
CSI2132,B,1460833200,Not available at this time.,Herna Viktor
CSI2501,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2501,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2501,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2501,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2501,A,1461335400,Not available at this time.,Nejib Zaguia
CSI2520,A,1460660400,Not available at this time.,Jean-Lou De Carufel
CSI2532,A,1460833200,Not available at this time.,Amal Zouaq
CSI2911,D,1461594600,Not available at this time.,Claude D'Amours
CSI2911,D,1461594600,Not available at this time.,Claude D'Amours
CSI2911,D,1461594600,Not available at this time.,Claude D'Amours
CSI2911,E,1461594600,Not available at this time.,Carlisle Adams
CSI2911,E,1461594600,Not available at this time.,Carlisle Adams
CSI2911,E,1461594600,Not available at this time.,Carlisle Adams
CSI2911,F,1461594600,Not available at this time.,Alexandre Lemieux
CSI2911,F,1461594600,Not available at this time.,Alexandre Lemieux
CSI2911,F,1461594600,Not available at this time.,Alexandre Lemieux
CSI3104,A,1461783600,Not available at this time.,Amy Felty
CSI3131,A,1460660400,Not available at this time.,Sherif Aly Ahmed
CSI3140,A,1461335400,Not available at this time.,Thomas Tran
CSI3504,A,1461783600,Not available at this time.,Amy Felty
CSI3531,A,1460660400,Not available at this time.,Fadi Malek
CSI4103,A,1461783600,Not available at this time.,Tanya Schmah
CSI4107,A,1461249000,Not available at this time.,Diana Inkpen
CSI4130,A,1460746800,Not available at this time.,Jochen Lang
CSI4133,A,1460989800,Not available at this time.,Wonsook Lee
CSI4141,A,1461076200,Not available at this time.,Gilbert Arbez
CSI4550,A,1461438000,Not available at this time.,Jean-Lou De Carufel
CVG1507,A,1461351600,Not available at this time.,Jules-Ange Infante
CVG2107,A,1461594600,Not available at this time.,Rozalina Dimitrova
CVG2107,A,1461594600,Not available at this time.,Rozalina Dimitrova
CVG2116,A,1461178800,Not available at this time.,Christopher Lane
CVG2116,A,1461178800,Not available at this time.,Christopher Lane
CVG2140,A,1461681000,Not available at this time.,Beatriz Martin-Perez
CVG2140,A,1461681000,Not available at this time.,Beatriz Martin-Perez
CVG2140,B,1461681000,Not available at this time.,Leandro Sanchez
CVG2140,B,1461681000,Not available at this time.,Leandro Sanchez
CVG2171,A,1460919600,Not available at this time.,Andraos Skaff
CVG2171,A,1460919600,Not available at this time.,Andraos Skaff
CVG2181,A,1460989800,Not available at this time.,Hamidreza Shirkhani
CVG2507,A,1461594600,Not available at this time.,Moussa Thiam
CVG2507,A,1461594600,Not available at this time.,Moussa Thiam
CVG2516,A,1461178800,Not available at this time.,Alexandre Mineault-Guitard
CVG2516,A,1461178800,Not available at this time.,Alexandre Mineault-Guitard
CVG2540,A,1461681000,Not available at this time.,
CVG2540,A,1461681000,Not available at this time.,
CVG2571,A,1460919600,Not available at this time.,Jules-Ange Infante
CVG2581,A,1460989800,Not available at this time.,Mohammed Mestar
CVG3106,A,1461697200,Not available at this time.,Rozalina Dimitrova
CVG3106,A,1461697200,Not available at this time.,Rozalina Dimitrova
CVG3132,A,1460817000,Not available at this time.,Majid Sartaj
CVG3132,A,1460817000,Not available at this time.,Majid Sartaj
CVG3132,A,1460817000,Not available at this time.,Majid Sartaj
CVG3147,A,1461249000,Not available at this time.,Alaa Abdulridha
CVG3148,A,1460644200,Not available at this time.,Hassan Aoude
CVG3148,A,1460644200,Not available at this time.,Hassan Aoude
CVG3547,A,1460730600,Not available at this time.,Magdi Mohareb
CVG3547,A,1460730600,Not available at this time.,Magdi Mohareb
CVG3547,A,1460730600,Not available at this time.,Magdi Mohareb
CVG4113,A,1460730600,Not available at this time.,Ousmane Seidou
CVG4122,A,1461178800,Not available at this time.,Abdolmajid Mohammadian
CVG4130,A,1461092400,Not available at this time.,Bahman Banihashemi
CVG4143,B,1461076200,Not available at this time.,Magdi Mohareb
CVG4145,A,1461697200,Not available at this time.,Martin Noël
CVG4145,A,1461697200,Not available at this time.,Martin Noël
CVG4146,A,1461610800,Not available at this time.,Ghasan Doudak
CVG4184,A,1461006000,Not available at this time.,Sai Vanapalli
ELG2136,A,1461508200,Not available at this time.,Emad Gad
ELG2136,A,1461508200,Not available at this time.,Emad Gad
ELG2136,A,1461508200,Not available at this time.,Emad Gad
ELG2136,B,1461508200,Not available at this time.,Emad Gad
ELG2136,B,1461508200,Not available at this time.,Emad Gad
ELG2136,B,1461508200,Not available at this time.,Emad Gad
ELG2137,A,1460989800,Not available at this time.,Sawsan Abdul-Majid
ELG2137,A,1460989800,Not available at this time.,Sawsan Abdul-Majid
ELG2336,A,1461351600,Not available at this time.,Riadh Habash
ELG2336,A,1461351600,Not available at this time.,Riadh Habash
ELG2336,A,1461351600,Not available at this time.,Riadh Habash
ELG2336,A,1461351600,Not available at this time.,Riadh Habash
ELG2336,A,1461351600,Not available at this time.,Riadh Habash
ELG2336,A,1461351600,Not available at this time.,Riadh Habash
ELG2536,A,1461508200,Not available at this time.,Ali Karime
ELG2537,A,1460989800,Not available at this time.,Hilmi Dajani
ELG2736,A,1461351600,Not available at this time.,Mahmoud Youssef
ELG2736,A,1461351600,Not available at this time.,Mahmoud Youssef
ELG2736,A,1461351600,Not available at this time.,Mahmoud Youssef
ELG2736,A,1461351600,Not available at this time.,Mahmoud Youssef
ELG2736,A,1461351600,Not available at this time.,Mahmoud Youssef
ELG2736,A,1461351600,Not available at this time.,Mahmoud Youssef
ELG2911,D,1461594600,Not available at this time.,Claude D'Amours
ELG2911,D,1461594600,Not available at this time.,Claude D'Amours
ELG2911,D,1461594600,Not available at this time.,Claude D'Amours
ELG2911,E,1461594600,Not available at this time.,Carlisle Adams
ELG2911,E,1461594600,Not available at this time.,Carlisle Adams
ELG2911,E,1461594600,Not available at this time.,Carlisle Adams
ELG2911,F,1461594600,Not available at this time.,Alexandre Lemieux
ELG2911,F,1461594600,Not available at this time.,Alexandre Lemieux
ELG2911,F,1461594600,Not available at this time.,Alexandre Lemieux
ELG3126,A,1460833200,Not available at this time.,Peter Galko
ELG3155,A,1461594600,Not available at this time.,Wail Gueaieb
ELG3175,A,1461438000,Not available at this time.,Siarhei Loika
ELG3526,A,1460833200,Not available at this time.,Abdellah Chehri
ELG3555,A,1461594600,Not available at this time.,Wail Gueaieb
ELG3575,A,1461438000,Not available at this time.,Claude D'Amours
ELG4115,A,1461076200,Not available at this time.,Pierre Berini
ELG4118,A,1460746800,Not available at this time.,Derek McNamara
ELG4126,A,1461783600,Not available at this time.,Henry Schriemer
ELG4137,A,1461610800,Not available at this time.,Tet Yeap
ELG4157,A,1461421800,Not available at this time.,Riadh Habash
ELG4159,A,1461265200,Not available at this time.,Wail Gueaieb
