CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
APA1122,A,Lecture 1,2,19:00,22:00,STE G0103,HEALTH:A GLOBAL PERSPERTIVE,Audrey Giles
APA1302,A,Lecture 1,2,13:00,14:30,SCR 002,SOC. OF SPORT &amp; PHYSI. ACT.CND,Michael Robidoux
APA1302,A,Lecture 2,4,11:30,13:00,SCR 002,SOC. OF SPORT &amp; PHYSI. ACT.CND,Michael Robidoux
APA1522,A,Lecture 1,1,19:00,22:00,FTX 147A,SANTÉ: PERSPECTIVE MONDIALE,Michael Spivock
APA1702,A,Lecture 1,3,16:00,17:30,SMD 430,SOCIO. SPORT &amp; ACT.PHYS.AU CND,Karine Henrie
APA1702,A,Lecture 2,5,14:30,16:00,SMD 430,SOCIO. SPORT &amp; ACT.PHYS.AU CND,Alexandre Dumas
APA2114,A,Lecture 1,1,08:30,10:00,MRT 212,Biomechanical Analysis of Huma,Natalie Elliott
APA2114,A,Lecture 2,4,10:00,11:30,MRT 212,Biomechanical Analysis of Huma,Ryan Graham
APA2134,A,Lecture 1,2,08:00,10:00,STE B0138,ADM. LSR, SPORT &amp; PHYS. ACT.,Michael Mark Dottori
APA2134,A,Discussion Group 1,3,08:00,10:00,SMD 222,ADM. LSR, SPORT &amp; PHYS. ACT.,Not available at this time.
APA2134,A,Discussion Group 2,3,08:00,10:00,MRT 251,ADM. LSR, SPORT &amp; PHYS. ACT.,Not available at this time.
APA2134,A,Discussion Group 3,3,08:00,10:00,LMX 339,ADM. LSR, SPORT &amp; PHYS. ACT.,Not available at this time.
APA2134,A,Discussion Group 4,4,13:00,15:00,GSD 307,ADM. LSR, SPORT &amp; PHYS. ACT.,Not available at this time.
APA2134,A,Discussion Group 5,4,16:00,18:00,SMD 430,ADM. LSR, SPORT &amp; PHYS. ACT.,Not available at this time.
APA2134,A,Discussion Group 6,5,08:00,10:00,MRT 250,ADM. LSR, SPORT &amp; PHYS. ACT.,Not available at this time.
APA2134,A,Discussion Group 7,5,08:00,10:00,LMX 106,ADM. LSR, SPORT &amp; PHYS. ACT.,Not available at this time.
APA2180,A,Lecture 1,2,13:00,14:30,DMS 1160,RESEARCH METHODS IN HUM. KIN.,Tanya Forneris
APA2180,A,Lecture 2,4,11:30,13:00,DMS 1160,RESEARCH METHODS IN HUM. KIN.,Tanya Forneris
APA2301,A,Lecture 1,2,11:30,13:00,MRT 212,Exercise Physiology 1,Glen Kenny
APA2301,A,Lecture 2,5,13:00,14:30,MRT 212,Exercise Physiology 1,Glen Kenny
APA2302,A,Lecture 1,1,13:00,14:30,MRT 205,HIST.SPORT AND PHY.ACT. CANADA,Eileen O'Connor
APA2302,A,Lecture 2,3,11:30,13:00,MRT 205,HIST.SPORT AND PHY.ACT. CANADA,Eileen O'Connor
APA2312,A,Lecture 1,1,08:30,10:00,FSS 1030,Physiology of Physical Activit,Kristi Adamo
APA2312,A,Lecture 2,4,10:00,11:30,FSS 1030,Physiology of Physical Activit,Kristi Adamo
APA2314,A,Laboratory 1,1,10:00,13:00,MNT 303,Laboratory Techniques in Exerc,Martine Dumont
APA2314,A,Laboratory 2,2,16:00,19:00,MNT 319,Laboratory Techniques in Exerc,Natalie Elliott
APA2314,B,Laboratory 1,1,10:00,13:00,MNT 319,Laboratory Techniques in Exerc,Natalie Elliott
APA2314,B,Laboratory 2,2,16:00,19:00,MNT 303,Laboratory Techniques in Exerc,Martine Dumont
APA2314,C,Laboratory 1,1,16:00,19:00,MNT 319,Laboratory Techniques in Exerc,Natalie Elliott
APA2314,C,Laboratory 2,3,13:00,16:00,MNT 303,Laboratory Techniques in Exerc,Martine Dumont
APA2314,D,Laboratory 1,1,16:00,19:00,MNT 303,Laboratory Techniques in Exerc,Martine Dumont
APA2314,D,Laboratory 2,3,13:00,16:00,MNT 319,Laboratory Techniques in Exerc,Natalie Elliott
APA2314,E,Laboratory 1,3,10:00,13:00,MNT 319,Laboratory Techniques in Exerc,Natalie Elliott
APA2314,E,Laboratory 2,1,13:00,16:00,MNT 303,Laboratory Techniques in Exerc,Martine Dumont
APA2314,F,Laboratory 1,3,10:00,13:00,MNT 303,Laboratory Techniques in Exerc,Martine Dumont
APA2314,F,Laboratory 2,5,16:00,19:00,MNT 319,Laboratory Techniques in Exerc,Natalie Elliott
APA2314,G,Laboratory 1,2,08:00,11:00,MNT 319,Laboratory Techniques in Exerc,Martine Dumont
APA2314,G,Laboratory 2,3,19:00,22:00,MNT 303,Laboratory Techniques in Exerc,Natalie Elliott
APA2314,H,Laboratory 1,1,19:00,22:00,MNT 319,Laboratory Techniques in Exerc,Martine Dumont
APA2314,H,Laboratory 2,3,16:00,19:00,MNT 303,Laboratory Techniques in Exerc,Natalie Elliott
APA2514,A,Lecture 1,1,16:00,17:30,MRT 252,Analyse biomécanique du mouvem,Julie Nantel
APA2514,A,Lecture 2,3,14:30,16:00,MRT 252,Analyse biomécanique du mouvem,Julie Nantel
APA2534,A,Lecture 1,5,08:00,10:00,MNT 201,ADM SERV LSR, SPORT &amp; ACT PHYS,François Rodrigue
APA2534,A,Discussion Group 1,4,19:00,21:00,FSS 6004,ADM SERV LSR, SPORT &amp; ACT PHYS,Benoit Séguin
APA2534,A,Discussion Group 2,4,19:00,21:00,LMX 223,ADM SERV LSR, SPORT &amp; ACT PHYS,Benoit Séguin
APA2534,A,Discussion Group 3,1,19:00,21:00,FSS 9003,ADM SERV LSR, SPORT &amp; ACT PHYS,Benoit Séguin
APA2534,A,Discussion Group 4,1,19:00,21:00,LMX 223,ADM SERV LSR, SPORT &amp; ACT PHYS,Benoit Séguin
APA2580,A,Lecture 1,2,19:00,22:00,ART 033,MÉTH/RECHER. EN SC. ACT. PHYS.,Michelle Fortier
APA2701,A,Lecture 1,2,14:30,16:00,VNR 2075,Physiologie de l'exercice I,Pascal Imbeault
APA2701,A,Lecture 2,5,16:00,17:30,VNR 2075,Physiologie de l'exercice I,Pascal Imbeault
APA2702,A,Lecture 1,1,10:00,11:30,THN 124,HIST. SPORT ET ACT.PHYS.CANADA,Hugues Théorêt
APA2702,A,Lecture 2,3,08:30,10:00,THN 124,HIST. SPORT ET ACT.PHYS.CANADA,Hugues Théorêt
APA2712,A,Lecture 1,2,11:30,13:00,SCS E218,Physiologie de l'activité phys,François Haman
APA2712,A,Lecture 2,5,13:00,14:30,SCS E218,Physiologie de l'activité phys,François Haman
APA2714,A,Laboratory 1,4,13:00,16:00,MNT 319,Techniques de laboratoire en p,Natalie Elliott
APA2714,A,Laboratory 2,5,13:00,16:00,MNT 303,Techniques de laboratoire en p,Martine Dumont
APA2714,B,Laboratory 1,4,13:00,16:00,MNT 303,Techniques de laboratoire en p,Martine Dumont
APA2714,B,Laboratory 2,5,13:00,16:00,MNT 319,Techniques de laboratoire en p,Natalie Elliott
APA2714,C,Laboratory 1,4,16:00,19:00,MNT 303,Techniques de laboratoire en p,Martine Dumont
APA2714,C,Laboratory 2,5,10:00,13:00,MNT 319,Techniques de laboratoire en p,Natalie Elliott
APA2714,D,Laboratory 1,4,16:00,19:00,MNT 319,Techniques de laboratoire en p,Natalie Elliott
APA2714,D,Laboratory 2,5,10:00,13:00,MNT 303,Techniques de laboratoire en p,Martine Dumont
