CODE,SECTION,DATE,ROOM,PROFESSOR
CML1102,A,1460728800,Not available at this time.,Stephen Blair
CML1102,A,1460728800,Not available at this time.,Stephen Blair
CML1102,B,1460728800,Not available at this time.,Chidi Oguamanam
CML1102,B,1460728800,Not available at this time.,Chidi Oguamanam
CML1102,C,1460745000,Not available at this time.,Anthony Vanduzer
CML1102,C,1460745000,Not available at this time.,Anthony Vanduzer
CML1102,D,1460745000,Not available at this time.,Kristen Thomasen
CML1102,D,1460745000,Not available at this time.,Kristen Thomasen
CML1103,A,1460988000,Not available at this time.,Elizabeth Sheehy
CML1103,A,1460988000,Not available at this time.,Elizabeth Sheehy
CML1103,B,1461004200,Not available at this time.,Graham Mayeda
CML1103,B,1461004200,Not available at this time.,Graham Mayeda
CML1105,H,1461349800,Not available at this time.,Donald McRae
CML1105,I,1461337200,Take Home Exam,Stewart Elgie
CML1107,A,1461679200,Not available at this time.,Bruce Feldthusen
CML1107,A,1461679200,Not available at this time.,Bruce Feldthusen
CML1107,B,1461695400,Not available at this time.,Jennifer Chandler
CML1107,B,1461695400,Not available at this time.,Jennifer Chandler
CML1109,A,1461349800,Not available at this time.,Craig Forcese
CML1203,A,1460988000,Not available at this time.,Rosemary Cairns Way
CML1203,B,1460988000,Not available at this time.,Andre Marin
CML1203,D,1460988000,Not available at this time.,Vanessa MacDonnell
CML1203,E,1460988000,Not available at this time.,Brian Holowka
CML1203,F,1461004200,Not available at this time.,Carissima Mathen
CML1203,G,1461004200,Not available at this time.,Jeffrey Johnston
CML1203,H,1460988000,Not available at this time.,Jennie Abell
CML1207,A,1461679200,Not available at this time.,Amy Salyzyn
CML1207,B,1461679200,Not available at this time.,Jamie Liew
CML1207,C,1461679200,Not available at this time.,Sarah Morales
CML1207,D,1461695400,Not available at this time.,Heather McLeod-Kilmurray
CML1207,E,1461682800,Take Home Exam,Lynda Collins
CML1207,F,1461679200,Not available at this time.,Bruce Feldthusen
CML1207,G,1461695400,Not available at this time.,Rebecca Bromwich
CML1207,H,1461695400,Not available at this time.,Michael Marin
CML1213,A,1461160800,Not available at this time.,Daphne Gilbert
CML1213,A,1461160800,Not available at this time.,Daphne Gilbert
CML1213,B,1461160800,Not available at this time.,Melanie Mallet
CML1213,B,1461160800,Not available at this time.,Melanie Mallet
CML1213,C,1461177000,Not available at this time.,Rosemary Cairns Way
CML1213,C,1461177000,Not available at this time.,Rosemary Cairns Way
CML1213,D,1461177000,Not available at this time.,Vanessa MacDonnell
CML1213,D,1461177000,Not available at this time.,Vanessa MacDonnell
CML1602,,1460728800,Take Home Exam,John Manwaring
CML1603,,1461004200,Not available at this time.,Pacifique Manirakiza
CML1603,,1461004200,Not available at this time.,Pacifique Manirakiza
CML1607,A,1461609000,Not available at this time.,Yan Zawisza
CML1607,B,1461609000,Not available at this time.,Denis Boivin
CML1607,C,1461609000,Not available at this time.,Francois Larocque
CML1608,,1461333600,Not available at this time.,Lama Abi Khaled
CML1608,,1461333600,Not available at this time.,Lama Abi Khaled
CML1613,B,1461177000,Not available at this time.,Martha Jackman
CML1613,B,1461177000,Not available at this time.,Martha Jackman
CML1702,,1461609000,Not available at this time.,Maria Katsivela
CML2104,C,1461765600,Not available at this time.,Michael Bird
CML2104,C,1461765600,Not available at this time.,Michael Bird
CML2213,,1460745000,Not available at this time.,Gordon Cameron
CML2213,,1460745000,Not available at this time.,Gordon Cameron
CML2302,C,1461247200,Not available at this time.,Penelope Simons
CML2302,D,1461247200,Not available at this time.,Penelope Simons
CML2302,E,1461247200,Not available at this time.,Ian Macgregor
CML2303,,1460728800,Not available at this time.,Diane Wade
CML2305,C,1460658600,Not available at this time.,Lynn Rockman
CML2305,C,1460658600,Not available at this time.,Lynn Rockman
CML2309,D,1461349800,Not available at this time.,Paul Vickery
CML2309,E,1461349800,Not available at this time.,Kirk Boyd
CML2309,E,1461349800,Not available at this time.,Kirk Boyd
CML2312,A,1460646000,Take Home Exam,Jamie Benidickson
CML2312,B,1460642400,Not available at this time.,Graham Mayeda
CML2312,B,1460642400,Not available at this time.,Graham Mayeda
CML2312,C,1460646000,Take Home Exam,Joseph Magnet
CML2312,D,1460642400,Not available at this time.,Craig Forcese
CML2312,D,1460642400,Not available at this time.,Craig Forcese
CML2313,C,1460991600,Take Home Exam,Joseph Magnet
CML2313,D,1461074400,Not available at this time.,Peter Oliver
CML2313,D,1461074400,Not available at this time.,Peter Oliver
CML2313,E,1461074400,Not available at this time.,Angela Cameron
CML2343,B,1461609000,Not available at this time.,Stephen Blair
CML2343,B,1461609000,Not available at this time.,Stephen Blair
CML2702,B,1461247200,Not available at this time.,Michael Marin
CML2703,,1460658600,Not available at this time.,Joseph Roach
CML2712,B,1460646000,Take Home Exam,Michelle Flaherty
CML2713,D,1461074400,Not available at this time.,Peter Oliver
CML2713,D,1461074400,Not available at this time.,Peter Oliver
CML2743,,1460745000,Not available at this time.,Jean-François Laberge
CML3131,B,1461090600,Not available at this time.,Donald McRae
CML3144,,1461769200,Take Home Exam,Kim Pate
CML3206,C,1461781800,Not available at this time.,Jane Thomson
CML3206,C,1461781800,Not available at this time.,Jane Thomson
CML3303,C,1461160800,Not available at this time.,Stephen Blair
CML3303,C,1461160800,Not available at this time.,Stephen Blair
CML3303,D,1461160800,Not available at this time.,Blair Crew
CML3303,D,1461160800,Not available at this time.,Blair Crew
CML3303,E,1461592800,Not available at this time.,Daphne Gilbert
CML3303,E,1461592800,Not available at this time.,Daphne Gilbert
CML3304,C,1460745000,Not available at this time.,Karen Cooper
CML3307,B,1461592800,Not available at this time.,David Wiseman
CML3307,B,1461592800,Not available at this time.,David Wiseman
CML3323,A,1461263400,Not available at this time.,Elizabeth Quigley
CML3323,A,1461263400,Not available at this time.,Elizabeth Quigley
CML3360,A,1461592800,Not available at this time.,Ian Macgregor
CML3383,A,1461609000,Not available at this time.,
CML3386,,1461333600,Not available at this time.,Palladam Vasudev
CML3386,,1461333600,Not available at this time.,Palladam Vasudev
CML3388,,1461765600,Not available at this time.,
CML3396,,1461177000,Not available at this time.,Steven Garland
CML3396,,1461177000,Not available at this time.,Steven Garland
CML3776,,1461781800,Not available at this time.,
CML3783,,1460728800,Not available at this time.,Gabrielle St-Hilaire
CML3787,,1461349800,Not available at this time.,Chantal Beaupré
CML3797,,1461333600,Not available at this time.,Laurie Joe
CML4117,SC,1461610800,Not available at this time.,
CML4542,N,1460642400,Not available at this time.,Alain Roussy
CML4542,N,1460642400,Not available at this time.,Alain Roussy
CML4545,N,1461074400,Not available at this time.,Alain Roussy
CML4545,N,1461074400,Not available at this time.,Alain Roussy
CML4546,N,1461247200,Not available at this time.,Yan Campagnolo
CML4546,N,1461247200,Not available at this time.,Yan Campagnolo
DCC2119,,1461247200,Not available at this time.,Janine Lespérance
DCC2119,,1461247200,Not available at this time.,Janine Lespérance
DCC2121,,1461679200,Not available at this time.,Tenille Brown
DCC2121,,1461679200,Not available at this time.,Tenille Brown
DCC2121,,1461679200,Not available at this time.,Tenille Brown
DCC2519,A,1461765600,Not available at this time.,Guilton Pierre-Jean
DCC3103,,1461765600,Not available at this time.,François Simard
DCC3103,,1461765600,Not available at this time.,François Simard
DCC3104,,1461436200,Not available at this time.,Alyssa Malkin
DCC3107,,1461090600,Not available at this time.,Gideon Christian
DCC3117,,1460642400,Not available at this time.,Julien Sylvestre-Fleury
DCC3117,,1460642400,Not available at this time.,Julien Sylvestre-Fleury
DCC3504,,1461679200,Not available at this time.,Karine Millaire
DCC3506,,1460988000,Not available at this time.,Pierre Marc Champagne
DCC3506,,1460988000,Not available at this time.,Pierre Marc Champagne
DCC3517,,1461436200,Not available at this time.,France Morrissette
DCC4119,,1461247200,Not available at this time.,Nora Paillon
DCC4502,,1461160800,Not available at this time.,Nicholas Jobidon
DCC4508,,1461074400,Not available at this time.,Louis-Charles Sirois
DCC4515,,1461349800,Not available at this time.,Denis Vincelette
DCC4517,SC,1461592800,Not available at this time.,Julien Pelletier
DCC4538,,1460745000,Not available at this time.,Michelle Giroux
DCC4752,,1460660400,Not available at this time.,Murielle Paradelle
DRC1705,A,1461263400,Not available at this time.,Sébastien Grammond
DRC1705,A,1461263400,Not available at this time.,Sébastien Grammond
DRC1705,B,1461263400,Not available at this time.,Sébastien Grammond
DRC1705,B,1461263400,Not available at this time.,Sébastien Grammond
DRC1705,C,1461263400,Not available at this time.,David Robitaille
DRC1705,C,1461263400,Not available at this time.,David Robitaille
DRC1706,A,1460642400,Not available at this time.,Josée Aspinall
DRC1706,A,1460642400,Not available at this time.,Josée Aspinall
DRC1706,B,1460642400,Not available at this time.,Josée Aspinall
DRC1706,B,1460642400,Not available at this time.,Josée Aspinall
DRC1706,C,1460642400,Not available at this time.,Josée Aspinall
DRC1706,C,1460642400,Not available at this time.,Josée Aspinall
DRC1707,A,1461090600,Not available at this time.,Marie-Eve Sylvestre
DRC1707,A,1461090600,Not available at this time.,Marie-Eve Sylvestre
DRC1707,B,1461090600,Not available at this time.,
DRC1707,B,1461090600,Not available at this time.,
DRC1707,C,1461090600,Not available at this time.,
DRC1707,C,1461090600,Not available at this time.,
DRC1708,A,1460831400,Not available at this time.,Mona Paré
DRC1708,A,1460831400,Not available at this time.,Mona Paré
DRC1708,B,1460831400,Not available at this time.,Patrick Dumberry
DRC1708,B,1460831400,Not available at this time.,Patrick Dumberry
DRC1708,C,1460831400,Not available at this time.,France Morrissette
DRC1708,C,1460831400,Not available at this time.,France Morrissette
DRC1714,A,1461609000,Not available at this time.,
DRC1714,A,1461609000,Not available at this time.,
DRC1714,B,1461609000,Not available at this time.,
DRC1714,B,1461609000,Not available at this time.,
DRC1714,B,1461609000,Not available at this time.,
DRC1714,C,1461609000,Not available at this time.,
DRC1714,C,1461609000,Not available at this time.,
DRC2508,A,1461177000,Not available at this time.,Denis Nadeau
DRC2508,A,1461177000,Not available at this time.,Denis Nadeau
DRC2508,A,1461177000,Not available at this time.,Denis Nadeau
DRC2508,B,1461177000,Not available at this time.,André Braen
DRC2508,B,1461177000,Not available at this time.,André Braen
DRC2508,C,1461177000,Not available at this time.,Denis Nadeau
DRC2508,C,1461177000,Not available at this time.,Denis Nadeau
DRC2508,C,1461177000,Not available at this time.,Denis Nadeau
DRC2509,B,1460988000,Not available at this time.,Pascale Fournier
DRC2509,B,1460988000,Not available at this time.,Pascale Fournier
DRC2509,C,1460988000,Not available at this time.,Ghislain Otis
DRC2509,C,1460988000,Not available at this time.,Ghislain Otis
DRC3501,C,1460901600,Not available at this time.,Claude Emanuelli
DRC3501,C,1460901600,Not available at this time.,Claude Emanuelli
DRC4148,,1460658600,Not available at this time.,Julie Barrette
DRC4391,,1461004200,Not available at this time.,Anne-Françoise Debruche
DRC4395,,1460746800,Not available at this time.,Karen Eltis
DRC4396,,1461160800,Not available at this time.,Claude Emanuelli
DRC4509,,1460658600,Not available at this time.,Patrick Dumberry
DRC4509,,1460658600,Not available at this time.,Patrick Dumberry
DRC4518,,1461697200,Not available at this time.,Nawwar Wannous
DRC4542,,1460658600,Not available at this time.,Denis Brochu
DRC4542,,1460658600,Not available at this time.,Denis Brochu
DRC4548,C,1460745000,Not available at this time.,Ivaylo Kraychev
DRC4548,C,1460745000,Not available at this time.,Ivaylo Kraychev
DRC4554,B,1461004200,Not available at this time.,Maxime Brunet
DRC4554,B,1461004200,Not available at this time.,Maxime Brunet
DRC4556,B,1461592800,Not available at this time.,Julie Paquin
DRC4556,B,1461592800,Not available at this time.,Julie Paquin
DRC4557,,1461765600,Not available at this time.,Maxime Brunet
DRC4558,,1460815200,Not available at this time.,Julie Cousineau
DRC4558,,1460815200,Not available at this time.,Julie Cousineau
DRC4558,A,1460815200,Not available at this time.,Christian Crites
DRC4558,A,1460815200,Not available at this time.,Christian Crites
DRC4559,B,1460658600,Not available at this time.,Jabeur Fathally
DRC4559,B,1460658600,Not available at this time.,Jabeur Fathally
DRC4561,,1461679200,Not available at this time.,Vincent Caron
DRC4561,,1461679200,Not available at this time.,Vincent Caron
DRC4580,,1461247200,Not available at this time.,David Robitaille
DRC4583,,1461333600,Not available at this time.,Laurie Joe
DRC4584,,1461092400,Not available at this time.,André Braen
DRC4590,B,1461074400,Not available at this time.,Bryan Robinson
DRC4590,B,1461074400,Not available at this time.,Bryan Robinson
DRC4591,B,1461765600,Not available at this time.,Louis-Charles Sirois
DRC4591,B,1461765600,Not available at this time.,Louis-Charles Sirois
DRC4595,B,1461004200,Not available at this time.,Marc Leblanc
DRC4595,C,1460728800,Not available at this time.,Gabrielle St-Hilaire
DRC4709,,1460745000,Not available at this time.,Jabeur Fathally
DRC4709,,1460745000,Not available at this time.,Jabeur Fathally
DRC4725,,1461247200,Not available at this time.,Mistrale Goudreau
DRC4725,,1461247200,Not available at this time.,Mistrale Goudreau
