CODE,SECTION,DATE,ROOM,PROFESSOR
BCH2333,A,1461697200,Not available at this time.,Christopher Boddy
BCH2333,A,1461697200,Not available at this time.,Christopher Boddy
BCH2333,A,1461697200,Not available at this time.,Christopher Boddy
BCH2333,B,1461697200,Not available at this time.,Adam Jason Shuhendler
BCH2333,B,1461697200,Not available at this time.,Adam Jason Shuhendler
BCH2333,B,1461697200,Not available at this time.,Adam Jason Shuhendler
BCH2733,,1461697200,Not available at this time.,Francois-Xavier Campbell-Valois
BCH3120,A,1461438000,Not available at this time.,Elaine Beaulieu
BCH3120,A,1461438000,Not available at this time.,Elaine Beaulieu
BCH3120,A,1461438000,Not available at this time.,Elaine Beaulieu
BCH3125,A,1461162600,Not available at this time.,Corrie daCosta
BCH3125,A,1461162600,Not available at this time.,Corrie daCosta
BCH3520,A,1461438000,Not available at this time.,Céline Aguer
BCH3520,A,1461438000,Not available at this time.,Céline Aguer
BCH3520,A,1461438000,Not available at this time.,Céline Aguer
BCH3525,A,1461162600,Not available at this time.,Roberto Chica
BCH4101,,1460730600,Not available at this time.,Josée Coutu
BCH4101,,1460730600,Not available at this time.,Josée Coutu
BCH4123,,1461178800,Not available at this time.,Ronald Booth
BCH4125,,1461335400,Not available at this time.,Adam Rudner
BCH4300,B,1461783600,Not available at this time.,Ilya Ioshikhes
BCH4300,C,1460574000,Take Home Exam,Daniel Figeys
BCH4700,A,1461783600,Take Home Exam,Illimar Altosaar
BIM4316,B,1461783600,Not available at this time.,Maxim Berezovski
BIO1140,A,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,A,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,A,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,B,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,B,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,B,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,C,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,C,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,C,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,C,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,C,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1140,C,1460730600,Not available at this time.,Caroline Petit-Turcotte
BIO1300,,1461697200,Not available at this time.,Adam Brown
BIO1540,A,1460730600,Not available at this time.,Elaine Beaulieu
BIO1540,A,1460730600,Not available at this time.,Elaine Beaulieu
BIO1540,A,1460730600,Not available at this time.,Elaine Beaulieu
BIO1540,B,1460730600,Not available at this time.,Elaine Beaulieu
BIO1540,B,1460730600,Not available at this time.,Elaine Beaulieu
BIO1540,B,1460730600,Not available at this time.,Elaine Beaulieu
BIO1540,B,1460730600,Not available at this time.,Elaine Beaulieu
BIO1540,B,1460730600,Not available at this time.,Elaine Beaulieu
BIO1700,,1461697200,Not available at this time.,François Chapleau
BIO2133,A,1461351600,Not available at this time.,
BIO2133,A,1461351600,Not available at this time.,
BIO2133,B,1461351600,Not available at this time.,
BIO2133,B,1461351600,Not available at this time.,
BIO2133,C,1461351600,Not available at this time.,
BIO2133,C,1461351600,Not available at this time.,
BIO2135,A,1461076200,Not available at this time.,Jon Houseman
BIO2135,A,1461076200,Not available at this time.,Jon Houseman
BIO2510,,1461594600,Not available at this time.,Rania Nasrallah
BIO2533,A,1461351600,Not available at this time.,Guy Drouin
BIO2533,A,1461351600,Not available at this time.,Guy Drouin
BIO2535,A,1461076200,Not available at this time.,Adam Brown
