CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ADM6274,C,Lecture 1,1,16:00,19:00,DMS 4120,INTL. E-BUSINESS STRATEGIES,David Wright
ADM6395,C,Lecture 1,1,17:00,22:00,DMS 4140,SEMINAR IN ADMINISTRATION III,Hantz Prosper
ANT5100,A,Seminar 1,2,11:30,14:30,FSS 11003,COMPARATIVE THEORETICAL APPROA,Scott Simon
ANT5141,A,Seminar 1,3,11:30,14:30,VNR 5040,RESEARCH METHODOLOGY IN ANTHRO,Mary Margaret (Meg) Stalcup
ANT5500,A,Seminar 1,1,08:30,11:30,FSS 11003,COMP. TRAD. FR. &amp; ANGLO-AMÉR.,Scott Simon
ANT5541,A,Seminar 1,3,08:30,11:30,TBT 311,MÉTHODOLOGIE DE LA RECHERCHE E,Julie Laplante
ANT6102,A,Seminar 1,4,14:30,17:30,VNR 5040,SOC &amp; CULT ANTHRO: FUND ISSUES,Thushara Hewage
ANT6502,A,Seminar 1,4,14:30,17:30,FSS 11003,ANTHRO SOC &amp; CULT: ENJEUX FOND,Stéphane Vibert
APA5105,,Lecture 1,4,14:30,17:30,SMD 429,Organizational Theory in Sport,Milena Parent
APA5107,,Lecture 1,4,13:00,16:00,LEE C107,COUNSELLING SKILLS AND,Natalie Durand-Bush
APA5305,,Seminar 1,1,19:00,22:00,MNT 204,Policy Analysis of Sport and P,John Barnes
APA5309,,Lecture 1,1,08:30,11:30,FTX 136,Performance Enhancement, Quali,Terrance Orlick
APA5311,,Seminar 1,4,14:30,17:30,DMS 8143,Analysis and Enhancement of In,Pierre Trudel
APA5314,,Seminar 1,3,08:30,11:30,DMS 9143,SEMINAR: CONSULTATION AND,Kim Thompson
APA5316,,Seminar 1,3,14:30,17:30,LMX 342,SEMINAR: CURRENT RESEARCH IN,Michael Naraine
APA5318,,Lecture 1,3,19:00,22:00,FTX 402,FINANCIAL MANAGEMENT OF SPORT,Julien Pelletier
APA6302,,Seminar 1,2,14:30,17:30,THN 133,QUALITATIVE RESEARCH METHODS,Kim Thompson
APA6303,,Seminar 1,2,19:00,22:00,TBT 319,QUANTITATIVE RESEARCH METHODS,Ryan Graham
APA6901,,Lecture 1,2,08:30,11:30,TBT 311,Thème choisis en sport, activi,François Haman
APA6902,,Lecture 1,2,14:30,17:30,FSS 9003,INTÉGRATION DE LA THÉORIE ET,Benoit Séguin
APA6903,,Lecture 1,2,08:30,11:30,DMS 9143,Thèmes choisis en sport, activ,Mario Lamontagne
APA6904,,Lecture 1,1,14:30,17:30,VNR 5040,Thèmes choisis en sport, activ,Eileen O'Connor
APA6905,,Seminar 1,3,14:30,17:30,DMS 9161,Thèmes choisis%%Selected Topic,Bradley Young
APA6909,,Seminar 1,2,14:30,17:30,FSS 11003,THÈMES CHOISIS/SELECTED TOPICS,Anthony Carlsen
APA6910,,Lecture 1,3,08:30,11:30,DMS 8143,RECH GEST SPORT/SPORT MGNT RES,Milena Parent
APA6923,,Seminar 1,4,14:30,17:30,HGN 305,SÉMINAIRE / SEMINAR,Michelle Fortier
APA7302,,Seminar 1,2,14:30,17:30,GSD 307,CONT. PSYCHOLOGICAL THEORIES,Michelle Fortier
APA7305,,Lecture 1,2,14:30,17:30,Not available at this time.,ADVANCED TOPICS,Thomas Hoshizaki
APA7702,,Seminar 1,2,14:30,17:30,GSD 307,THÉORIES PSYCHOL. CONTEMP.,Michelle Fortier
APA7705,,Lecture 1,2,14:30,17:30,Not available at this time.,PRINC. AVANCÉS BIOMÉCANIQUE,Thomas Hoshizaki
API5100,A,Seminar 1,3,08:30,11:30,FSS 6004,ECON. FOR PUB. MANAG. &amp; POLICY,Ross Finnie
API5100,B,Seminar 1,4,08:30,11:30,FSS 6004,ECON. FOR PUB. MANAG. &amp; POLICY,Geranda Notten
API5105,A,Seminar 1,2,14:30,17:30,FSS 6004,CONCEPTS &amp; ISS. INTNL. AFFAIRS,Roland Paris
API5105,B,Seminar 1,4,17:30,20:30,FSS 8003,CONCEPTS &amp; ISS. INTNL. AFFAIRS,Alexandra Gheciu
API5105,C,Seminar 1,3,11:30,14:30,FSS 6004,CONCEPTS &amp; ISS. INTNL. AFFAIRS,Costanza Musu
API5116,A,Seminar 1,1,11:30,13:00,SCS E217,DEM. GOVERNMENT &amp; PUB. POLICY.,Luc Juillet
