CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
APA1161,A,Lecture 1,2,08:00,10:00,MRT 212,INTRO BIOPHYS HUMAN MOVEMENT,Carla Geurts
APA1161,A,Laboratory 1,1,13:00,15:00,Consult the department,INTRO BIOPHYS HUMAN MOVEMENT,Martine Dumont
APA1161,A,Laboratory 2,1,15:00,17:00,Consult the department,INTRO BIOPHYS HUMAN MOVEMENT,Natalie Elliott
APA1161,A,Laboratory 3,3,15:00,17:00,Consult the department,INTRO BIOPHYS HUMAN MOVEMENT,Martine Dumont
APA1161,A,Laboratory 4,5,08:00,10:00,Consult the department,INTRO BIOPHYS HUMAN MOVEMENT,Martine Dumont
APA1161,A,Laboratory 5,5,13:00,15:00,Consult the department,INTRO BIOPHYS HUMAN MOVEMENT,Martine Dumont
APA1313,A,Lecture 1,4,08:00,10:00,MRT 218,MUSCULOSKELETAL ANATOMY,Jingxian Li
APA1313,A,Laboratory 1,1,08:00,10:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 2,1,10:00,12:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 3,1,18:00,20:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 4,2,08:00,10:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 5,2,10:00,12:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 6,2,12:00,14:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 7,2,14:00,16:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 8,2,16:00,18:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 9,4,10:00,12:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 10,4,12:00,14:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 11,4,14:00,16:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 12,4,16:00,18:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 13,5,08:00,10:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 14,5,10:00,12:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 15,5,12:00,14:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 16,5,14:00,16:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1313,A,Laboratory 17,5,16:00,18:00,MNT 317,MUSCULOSKELETAL ANATOMY,Natalie Elliott
APA1561,A,Lecture 1,4,08:00,10:00,FTX 302,INTRO ASPECTS BIOPHYS MOUV HUM,Julie Nantel
APA1561,A,Laboratory 1,2,15:00,17:00,Consult the department,INTRO ASPECTS BIOPHYS MOUV HUM,Natalie Elliott
APA1561,A,Laboratory 2,3,13:00,15:00,Consult the department,INTRO ASPECTS BIOPHYS MOUV HUM,Martine Dumont
APA1561,A,Laboratory 3,4,13:00,15:00,Consult the department,INTRO ASPECTS BIOPHYS MOUV HUM,Natalie Elliott
APA1561,A,Laboratory 4,5,13:00,15:00,Consult the department,INTRO ASPECTS BIOPHYS MOUV HUM,Martine Dumont
APA1713,A,Lecture 1,2,08:00,10:00,STE A0150,ANATOMIE DU SYSTÈME LOCOMOTEUR,Julie Nantel
APA1713,A,Laboratory 1,1,12:00,14:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 2,1,14:00,16:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 3,1,16:00,18:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 4,2,18:00,20:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 5,3,08:00,10:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 6,3,10:00,12:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 7,3,12:00,14:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 8,3,14:00,16:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 9,3,16:00,18:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA1713,A,Laboratory 10,3,18:00,20:00,MNT 317,ANATOMIE DU SYSTÈME LOCOMOTEUR,Natalie Elliott
APA2111,A,Lecture 1,2,19:00,22:00,STE B0138,INTERVENTION THEORIES,Bradley Young
APA2120,A,Lecture 1,1,11:30,13:00,STE B0138,Motor Control and Learning,Anthony Carlsen
APA2120,A,Lecture 2,4,13:00,14:30,STE B0138,Motor Control and Learning,Michael Carter
APA2121,A,Lecture 1,3,16:00,17:30,STE G0103,NUTRITION AND HEALTH,Carla Geurts
APA2121,A,Lecture 2,5,14:30,16:00,STE G0103,NUTRITION AND HEALTH,Carla Geurts
APA2140,A,Lecture 1,2,11:30,13:00,STE G0103,Introduction to Sport and Exer,Jennifer Brunet
