CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
CML1101,A1,Lecture 1,1,08:30,10:00,FTX 359,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A2,Lecture 1,2,08:30,10:00,FTX 359,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A3,Lecture 1,3,08:30,10:00,FTX 232,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A4,Lecture 1,2,13:00,14:30,FTX 302,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A5,Lecture 1,1,14:30,16:00,FTX 351,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1102,A,Lecture 1,1,08:30,10:00,FTX 147,CONTRACTS,Stephen Blair
CML1102,A,Lecture 2,4,16:00,17:30,FTX 147,CONTRACTS,Stephen Blair
CML1102,A,Tutorial 1,1,11:30,13:00,FTX 227,CONTRACTS,Not available at this time.
CML1102,B,Lecture 1,1,10:00,11:30,FTX 147,CONTRACTS,Chidi Oguamanam
CML1102,B,Lecture 2,4,16:00,17:30,FTX 147A,CONTRACTS,Chidi Oguamanam
CML1102,B,Tutorial 1,1,11:30,13:00,Not available at this time.,CONTRACTS,Not available at this time.
CML1102,C,Lecture 1,1,10:00,11:30,FTX 147A,CONTRACTS,Jane Bailey
CML1102,C,Lecture 2,4,16:00,17:30,FTX 147B,CONTRACTS,Jane Bailey
CML1102,C,Tutorial 1,1,11:30,13:00,FTX 133,CONTRACTS,Not available at this time.
CML1102,D,Lecture 1,1,10:00,11:30,FTX 351,CONTRACTS,Ian Kerr
CML1102,D,Lecture 2,4,16:00,17:30,FTX 351,CONTRACTS,Ian Kerr
CML1102,D,Tutorial 1,1,11:30,13:00,FTX 147B,CONTRACTS,Not available at this time.
CML1103,A,Lecture 1,2,14:30,16:00,FTX 147A,CRIMINAL LAW AND PROCEDURE,Elizabeth Sheehy
CML1103,A,Lecture 2,4,13:00,14:30,FTX 351,CRIMINAL LAW AND PROCEDURE,Elizabeth Sheehy
