CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ANT1101,B,Lecture 1,1,08:30,10:00,CBY C03,SOCIAL&amp; CULTURAL ANTHRO,Deborah Sick
ANT1101,B,Lecture 2,4,10:00,11:30,CBY C03,SOCIAL&amp; CULTURAL ANTHRO,Deborah Sick
ANT1501,B,Lecture 1,2,10:00,11:30,CBY C03,ANTHROPOLOGIE SOCI. &amp; CULTUR.,Véronique Béguet
ANT1501,B,Lecture 2,4,08:30,10:00,CBY C03,ANTHROPOLOGIE SOCI. &amp; CULTUR.,Véronique Béguet
ANT2103,A,Lecture 1,1,13:00,14:30,TBT 333,SOCIO ANTHRO OF THE FAMILY,Edith Smith
ANT2103,A,Lecture 2,3,11:30,13:00,TBT 333,SOCIO ANTHRO OF THE FAMILY,Edith Smith
ANT2108,A,Lecture 1,2,16:00,17:30,FSS 1030,FIELDWORK,Paul Thibaudeau
ANT2108,A,Lecture 2,4,14:30,16:00,FSS 1030,FIELDWORK,Paul Thibaudeau
ANT2108,B,Lecture 1,3,16:00,17:30,VNR 2075,FIELDWORK,Hope Maclean
ANT2108,B,Lecture 2,5,14:30,16:00,VNR 2075,FIELDWORK,Hope Maclean
ANT2121,A,Lecture 1,1,16:00,17:30,FSS 1006,CLASSICAL THEORIES IN ANTHROPO,Hope Maclean
ANT2121,A,Lecture 2,3,14:30,16:00,FSS 1006,CLASSICAL THEORIES IN ANTHROPO,Hope Maclean
ANT2130,A,Lecture 1,2,13:00,14:30,FSS 1006,ANTHROPO. OF POPULAR CULTURE,Mary Margaret (Meg) Stalcup
ANT2130,A,Lecture 2,4,11:30,13:00,FSS 1006,ANTHROPO. OF POPULAR CULTURE,Mary Margaret (Meg) Stalcup
ANT2521,A,Lecture 1,2,16:00,17:30,MRT 219,THÉORIES CLASSIQUES EN ANTHRO,Jorge Legoas
ANT2521,A,Lecture 2,4,14:30,16:00,MRT 219,THÉORIES CLASSIQUES EN ANTHRO,Jorge Legoas
ANT2529,A,Lecture 1,3,10:00,11:30,VNR 1075,ANTHROPOLOGIE DE LA VILLE,Véronique Béguet
ANT2529,A,Lecture 2,5,08:30,10:00,VNR 1075,ANTHROPOLOGIE DE LA VILLE,Véronique Béguet
ANT3131,A,Lecture 1,4,14:30,17:30,SMD 222,ECONOMIC ANTHROPOLOGY,Deborah Sick
ANT3142,A,Lecture 1,1,11:30,13:00,CBY E016,ETHNO: COMPARATIVE PERSPECTIVE,Larisa Kurtovic
ANT3142,A,Lecture 2,4,13:00,14:30,CBY E016,ETHNO: COMPARATIVE PERSPECTIVE,Larisa Kurtovic
ANT3326,A,Lecture 1,2,11:30,13:00,VNR 2075,INDIG.PEO.HUM.RIGH.INT.PERS.,Hope Maclean
ANT3326,A,Lecture 2,5,13:00,14:30,VNR 2075,INDIG.PEO.HUM.RIGH.INT.PERS.,Hope Maclean
ANT3344,A,Lecture 1,2,14:30,16:00,VNR 2075,ANTHROPOLOGY OF SOUTH ASIA,Thushara Hewage
ANT3344,A,Lecture 2,5,16:00,17:30,VNR 2075,ANTHROPOLOGY OF SOUTH ASIA,Thushara Hewage
ANT3345,A,Lecture 1,1,13:00,14:30,VNR 3075,ANT. OF MAGHREB AND MID. EAST,Marie-Claude Haince
ANT3345,A,Lecture 2,3,11:30,13:00,VNR 3075,ANT. OF MAGHREB AND MID. EAST,Marie-Claude Haince
ANT3528,A,Lecture 1,2,17:30,19:00,SMD 402,ANTHROPOLOGIE POLITIQUE,Scott Simon
ANT3528,A,Lecture 2,4,17:30,19:00,SMD 402,ANTHROPOLOGIE POLITIQUE,Scott Simon
ANT3531,A,Lecture 1,1,10:00,11:30,LEE C102,ANTHROPOLOGIE ÉCONOMIQUE,Vincent Mirza
ANT3531,A,Lecture 2,3,08:30,10:00,LEE C102,ANTHROPOLOGIE ÉCONOMIQUE,Vincent Mirza
ANT3542,A,Lecture 1,3,13:00,14:30,CBY E016,ETHNO: PERSPECTIVES COMPARÉES,Véronique Béguet
ANT3542,A,Lecture 2,5,11:30,13:00,CBY E016,ETHNO: PERSPECTIVES COMPARÉES,Véronique Béguet
ANT3743,A,Lecture 1,5,08:30,11:30,FSS 1005,ANTHROPOLOGIE ASIE DE L'EST,Vincent Mirza
ANT4123,A,Lecture 1,4,11:30,14:30,SMD 503,THEOR CURRENTS CONTEMP ANTHRO,Julie Laplante
ANT4523,A,Lecture 1,1,14:30,17:30,FSS 7003,COURANTS THEO ANTHROPO CONTEMP,Stéphane Vibert
CRM1300,B,Lecture 1,2,17:30,19:00,DMS 1160,INTRODUCTION TO CRIMINOLOGY,Steven Bittle
CRM1300,B,Lecture 2,4,17:30,19:00,DMS 1160,INTRODUCTION TO CRIMINOLOGY,Steven Bittle
CRM1300,C,Lecture 1,1,17:30,19:00,ART 033,INTRODUCTION TO CRIMINOLOGY,Michael Kempa
CRM1300,C,Lecture 2,3,17:30,19:00,ART 033,INTRODUCTION TO CRIMINOLOGY,Michael Kempa
CRM1300,D,Lecture 1,3,16:00,17:30,UCU AUD,INTRODUCTION TO CRIMINOLOGY,Deborah Landry
CRM1300,D,Lecture 2,5,14:30,16:00,UCU AUD,INTRODUCTION TO CRIMINOLOGY,Deborah Landry
CRM1300,E,Lecture 1,2,14:30,16:00,DMS 1140,INTRODUCTION TO CRIMINOLOGY,Sam Alvaro
CRM1300,E,Lecture 2,5,16:00,17:30,DMS 1140,INTRODUCTION TO CRIMINOLOGY,Sam Alvaro
CRM1301,B,Lecture 1,3,19:00,22:00,TBT 333,HISTORY CRIMINOLOGICAL THOUGHT,Prashan Ranasinghe
CRM1301,C,Lecture 1,1,11:30,13:00,CBY C03,HISTORY CRIMINOLOGICAL THOUGHT,Christine Gervais
CRM1301,C,Lecture 2,4,13:00,14:30,CBY C03,HISTORY CRIMINOLOGICAL THOUGHT,Christine Gervais
CRM1700,B,Lecture 1,2,16:00,17:30,DMS 1160,INTRODUCTION À LA CRIMINOLOGIE,Line Beauchesne
CRM1700,B,Lecture 2,4,14:30,16:00,DMS 1160,INTRODUCTION À LA CRIMINOLOGIE,Line Beauchesne
CRM1700,C,Lecture 1,2,17:30,19:00,ART 033,INTRODUCTION À LA CRIMINOLOGIE,Sébastien Lachambre
CRM1700,C,Lecture 2,4,17:30,19:00,ART 033,INTRODUCTION À LA CRIMINOLOGIE,Sébastien Lachambre
CRM1701,B,Lecture 1,1,11:30,13:00,SCR 002,HISTOIRE SAVOIR CRIMINOLOGIQUE,Lisa Micucci
CRM1701,B,Lecture 2,4,13:00,14:30,SCR 002,HISTOIRE SAVOIR CRIMINOLOGIQUE,Lisa Micucci
CRM1701,C,Lecture 1,1,10:00,11:30,FSS 1007,HISTOIRE SAVOIR CRIMINOLOGIQUE,Marie-Lyne Vachon
CRM1701,C,Lecture 2,3,08:30,10:00,FSS 1007,HISTOIRE SAVOIR CRIMINOLOGIQUE,Marie-Lyne Vachon
CRM2300,A,Lecture 1,2,10:00,11:30,MRT 205,CRIMINAL JUSTICE &amp; PENAL NORM,Valerie Steeves
CRM2300,A,Lecture 2,4,08:30,10:00,MRT 205,CRIMINAL JUSTICE &amp; PENAL NORM,Valerie Steeves
CRM2301,A,Lecture 1,3,13:00,14:30,ART 257,CRIMINOLOGICAL THEORIES I,Vajmeh Tabibi
CRM2301,A,Lecture 2,5,11:30,13:00,ART 257,CRIMINOLOGICAL THEORIES I,Vajmeh Tabibi
CRM2303,A,Lecture 1,1,13:00,14:30,LEE A130,RESEARCH METH IN CRIMINOLOGY,Holly Johnson
CRM2303,A,Lecture 2,3,11:30,13:00,LEE A130,RESEARCH METH IN CRIMINOLOGY,Holly Johnson
CRM2305,A,Lecture 1,1,19:00,22:00,STE A0150,Police in Modern Society,Jeffrey Monaghan
CRM2306,B,Lecture 1,2,08:30,10:00,HGN 302,PRISON COMMU. &amp; DEPRI. LIBERTY,Wayne Hanniman
CRM2306,B,Lecture 2,5,10:00,11:30,HGN 302,PRISON COMMU. &amp; DEPRI. LIBERTY,Wayne Hanniman
CRM2307,A,Lecture 1,2,19:00,22:00,HGN 302,WOMEN, JUSTICE &amp; VICTIMIZATION,Zoi Coucopoulos
CRM2308,A,Lecture 1,2,14:30,16:00,HGN 302,SOCIAL AND CRIMINAL POLICY,Lori Stinson
CRM2308,A,Lecture 2,5,16:00,17:30,HGN 302,SOCIAL AND CRIMINAL POLICY,Lori Stinson
CRM2309,B,Lecture 1,1,16:00,17:30,MCD 146,CRIMINAL JUSTICE AND HEALTH,Miriam Levitt
CRM2309,B,Lecture 2,3,14:30,16:00,MCD 146,CRIMINAL JUSTICE AND HEALTH,Miriam Levitt
CRM2700,A,Lecture 1,1,08:30,10:00,MRT 205,JUSTICE ET NORME PÉNALE,Nelson Arturo Ovalle Diaz
CRM2700,A,Lecture 2,4,10:00,11:30,MRT 205,JUSTICE ET NORME PÉNALE,Nelson Arturo Ovalle Diaz
CRM2701,A,Lecture 1,3,10:00,11:30,FSS 1007,THÉORIES CRIMINOLOGIQUES I,Lucie Coppens
CRM2701,A,Lecture 2,5,08:30,10:00,FSS 1007,THÉORIES CRIMINOLOGIQUES I,Lucie Coppens
CRM2703,A,Lecture 1,2,11:30,13:00,MNT 207,MÉTH. DE RECHERCHE EN CRIMINO.,Carolyn Côté-Lussier
CRM2703,A,Lecture 2,5,13:00,14:30,MNT 207,MÉTH. DE RECHERCHE EN CRIMINO.,Carolyn Côté-Lussier
CRM2705,B,Lecture 1,1,10:00,11:30,MRT 205,La police dans la société mode,Line Beauchesne
CRM2705,B,Lecture 2,3,08:30,10:00,MRT 205,La police dans la société mode,Line Beauchesne
CRM2707,A,Lecture 1,3,19:00,22:00,HGN 302,FEMMES, JUSTICE &amp; VICTIM.,Zoi Coucopoulos
CRM2709,A,Lecture 1,4,19:00,22:00,FSS 1007,JUSTICE PÉNALE ET SANTÉ,Zoi Coucopoulos
CRM2710,A,Lecture 1,2,19:00,22:00,ART 257,INTERVENTION COMMUN. CRIMINOL.,Michel Doiron
CRM3301,A,Lecture 1,5,17:30,20:30,VNR 1095,CRIMINOLOGICAL THEORIES II,Wayne Hanniman
CRM3301,B,Lecture 1,2,17:30,19:00,VNR 2095,CRIMINOLOGICAL THEORIES II,Jeffrey Monaghan
CRM3301,B,Lecture 2,4,17:30,19:00,VNR 2095,CRIMINOLOGICAL THEORIES II,Jeffrey Monaghan
CRM3305,A,Lecture 1,5,14:30,17:30,VNR 1095,Police and Social Control,Jeffrey Monaghan
CRM3306,A,Lecture 1,1,13:00,14:30,LPR 155,VICTIMOLOGY,Irvin Waller
CRM3306,A,Lecture 2,3,11:30,13:00,LPR 155,VICTIMOLOGY,Irvin Waller
CRM3308,B,Lecture 1,1,08:30,11:30,VNR 2095,PREVENTION AND CRIMINOLOGY,Irvin Waller
CRM3310,A,Lecture 1,4,08:30,11:30,VNR 5070,CORP. &amp; WHITE COLLAR CRIME,Steven Bittle
CRM3311,A,Lecture 1,1,19:00,22:00,MRT 205,MENTAL DISORDER AND JUSTICE,Wayne Hanniman
CRM3311,CJ,Videoconference course 1,1,19:00,22:00,Various sites (with online component),MENTAL DISORDER AND JUSTICE,Wayne Hanniman
CRM3311,HC,Videoconference course 1,1,19:00,22:00,Various sites (with online component),MENTAL DISORDER AND JUSTICE,Wayne Hanniman
CRM3311,HJ,Videoconference course 1,1,19:00,22:00,Various sites (with online component),MENTAL DISORDER AND JUSTICE,Wayne Hanniman
CRM3311,PJ,Videoconference course 1,1,19:00,22:00,Various sites (with online component),MENTAL DISORDER AND JUSTICE,Wayne Hanniman
CRM3312,A,Lecture 1,3,19:00,22:00,VNR 1095,YOUTH AND JUSTICE,Erin McCuaig-Lambrinakos
CRM3314,A,Lecture 1,4,19:00,22:00,VNR 3035,CRIMINAL JUSTICE AND DRUGS,Kate Fletcher
CRM3317,A,Lecture 1,2,10:00,11:30,VNR 1095,CRIME AND THE MEDIA,Deborah Landry
CRM3317,A,Lecture 2,4,08:30,10:00,VNR 1095,CRIME AND THE MEDIA,Deborah Landry
CRM3318,A,Lecture 1,3,14:30,17:30,VNR 5070,MINORITIES AND JUSTICE,Claire Delisle
CRM3319,A,Lecture 1,1,14:30,16:00,FSS 1006,SENTENCING,Howard Bebbington
CRM3319,A,Lecture 2,4,16:00,17:30,FSS 1006,SENTENCING,Howard Bebbington
CRM3334,A,Lecture 1,2,13:00,14:30,Consult the department,QUANTITATIVE RESEARCH CRIMINOL,Cheryl Webster
CRM3334,A,Lecture 2,4,11:30,13:00,Consult the department,QUANTITATIVE RESEARCH CRIMINOL,Cheryl Webster
CRM3334,A,Tutorial 1,5,13:00,14:30,FTX 361,QUANTITATIVE RESEARCH CRIMINOL,Not available at this time.
CRM3334,B,Lecture 1,2,16:00,17:30,Consult the department,QUANTITATIVE RESEARCH CRIMINOL,Cheryl Webster
CRM3334,B,Lecture 2,4,14:30,16:00,Consult the department,QUANTITATIVE RESEARCH CRIMINOL,Cheryl Webster
CRM3334,B,Tutorial 1,5,13:00,14:30,Consult the department,QUANTITATIVE RESEARCH CRIMINOL,Not available at this time.
CRM3701,A,Lecture 1,5,17:30,20:30,MRT 219,THÉORIES CRIMINOLOGIQUES II,Jérémie Duhamel
CRM3701,B,Lecture 1,3,13:00,14:30,SMD 221,THÉORIES CRIMINOLOGIQUES II,Jérémie Duhamel
CRM3701,B,Lecture 2,5,11:30,13:00,SMD 221,THÉORIES CRIMINOLOGIQUES II,Jérémie Duhamel
CRM3703,A,Lecture 1,3,14:30,17:30,VNR 3035,INTERVENTION INDIVIDUELLE,Josée Tamborini
CRM3703,B,Lecture 1,2,17:30,19:00,VNR 1095,INTERVENTION INDIVIDUELLE,Michel Doiron
CRM3703,B,Lecture 2,4,17:30,19:00,VNR 1095,INTERVENTION INDIVIDUELLE,Michel Doiron
CRM3706,A,Lecture 1,2,17:30,19:00,DMS 1130,Victimologie,Haythem Euchi
CRM3706,A,Lecture 2,4,17:30,19:00,DMS 1130,Victimologie,Haythem Euchi
CRM3708,A,Lecture 1,1,17:30,19:00,VNR 2095,PRÉVENTION DU CRIME,Claude Turgeon
CRM3708,A,Lecture 2,3,17:30,19:00,VNR 2095,PRÉVENTION DU CRIME,Claude Turgeon
CRM3715,A,Lecture 1,3,08:30,11:30,VNR 3035,THÈMES PARTICULIERS CRIMINOL.,Sandra Lehalle
CRM3716,A,Lecture 1,2,11:30,13:00,VNR 1095,EMPRISONNEMENT LIBÉR. CONDIT.,Marcus Léonard
