CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
AHL1100,A,Lecture 1,3,14:30,17:30,SMD 227,INTRO TO INTERDISC IN ARTS,Celina Jeffery
AHL1100,B,Lecture 1,5,08:30,11:30,CBY D103,INTRO TO INTERDISC IN ARTS,Brenda Macdougall
AHL1500,A,Lecture 1,1,10:00,11:30,SMD 227,INIT ÉTUDES INTERDISC EN ARTS,Kouky Fianu
AHL1500,A,Lecture 2,3,08:30,10:00,SMD 227,INIT ÉTUDES INTERDISC EN ARTS,Kouky Fianu
ALG1902,A,Lecture 1,1,08:30,10:00,MRT 221,CRS ÉLÉ ALLEMAND/ELEM GERM II,Elizabeth Schwaiger
ALG1902,A,Lecture 2,4,10:00,11:30,MRT 221,CRS ÉLÉ ALLEMAND/ELEM GERM II,Elizabeth Schwaiger
ALG1902,A,Discussion Group 1,4,11:30,12:30,DMS 3105,CRS ÉLÉ ALLEMAND/ELEM GERM II,Elizabeth Schwaiger
ALG1902,B,Lecture 1,1,08:30,10:00,STE F0126,CRS ÉLÉ ALLEMAND/ELEM GERM II,Birgit Wirz-Endrys
ALG1902,B,Lecture 2,4,10:00,11:30,STE F0126,CRS ÉLÉ ALLEMAND/ELEM GERM II,Birgit Wirz-Endrys
ALG1902,B,Discussion Group 1,4,09:00,10:00,VNR 1095,CRS ÉLÉ ALLEMAND/ELEM GERM II,Birgit Wirz-Endrys
ALG1902,C,Lecture 1,2,14:30,16:00,TBT 317,CRS ÉLÉ ALLEMAND/ELEM GERM II,Seyed Mohammad Seyed Alavi
ALG1902,C,Lecture 2,5,16:00,17:30,TBT 317,CRS ÉLÉ ALLEMAND/ELEM GERM II,Seyed Mohammad Seyed Alavi
ALG1902,C,Discussion Group 1,2,16:00,17:00,TBT 317,CRS ÉLÉ ALLEMAND/ELEM GERM II,Seyed Mohammad Seyed Alavi
ALG1902,D,Lecture 1,1,17:30,19:00,TBT 0021,CRS ÉLÉ ALLEMAND/ELEM GERM II,Spaska Siderova
ALG1902,D,Lecture 2,3,17:30,19:00,TBT 0021,CRS ÉLÉ ALLEMAND/ELEM GERM II,Spaska Siderova
ALG1902,D,Discussion Group 1,3,19:00,20:00,TBT 0021,CRS ÉLÉ ALLEMAND/ELEM GERM II,Spaska Siderova
ALG2902,A,Lecture 1,3,13:00,14:30,TBT 327,Cours intermédiaire d'allemand,Angela Bruckel-Lichtenoecker
ALG2902,A,Lecture 2,5,11:30,13:00,TBT 327,Cours intermédiaire d'allemand,Angela Bruckel-Lichtenoecker
ALG2902,A,Discussion Group 1,3,12:00,13:00,DMS 3105,Cours intermédiaire d'allemand,Angela Bruckel-Lichtenoecker
ALG2902,B,Lecture 1,2,17:30,19:00,DMS 3105,Cours intermédiaire d'allemand,Seyed Mohammad Seyed Alavi
ALG2902,B,Lecture 2,4,17:30,19:00,DMS 3105,Cours intermédiaire d'allemand,Seyed Mohammad Seyed Alavi
ALG2902,B,Discussion Group 1,2,19:00,20:00,DMS 3105,Cours intermédiaire d'allemand,Seyed Mohammad Seyed Alavi
ALG3330,A,Lecture 1,1,14:30,17:30,TBT 323,CINEMA GER. SPEAKING COUNTRIES,Spaska Siderova
ALG3902,A,Lecture 1,2,13:00,14:30,UCU 205,CRS AV ALLEMAND/ADV GERMAN II,Birgit Wirz-Endrys
ALG3902,A,Lecture 2,4,11:30,13:00,SMD 503,CRS AV ALLEMAND/ADV GERMAN II,Birgit Wirz-Endrys
ALG3902,A,Discussion Group 1,2,12:00,13:00,LMX 405,CRS AV ALLEMAND/ADV GERMAN II,Birgit Wirz-Endrys
ALG3980,A,Lecture 1,3,14:30,17:30,MRT 015,LIT.ALL.1900/GER.LIT. 1900,Agatha Schwartz
AMT3301,A,Lecture 1,2,17:30,20:30,PRZ 307,SELECTED TOPICS IN ART ADMIN.,Catherine O'Grady
AMT3902,A,Lecture 1,1,17:30,20:30,PRZ 307,GEST/ADMIN - ART &amp; CUL ORG II,Chantal Rodier
ARB1912,A,Lecture 1,1,08:30,10:00,TBT 323,COURS ÉLÉ ARABE/ELEM ARABIC II,Claude Rachid
ARB1912,A,Lecture 2,4,10:00,11:30,TBT 323,COURS ÉLÉ ARABE/ELEM ARABIC II,Claude Rachid
ARB1912,A,Discussion Group 1,4,09:00,10:00,TBT 317,COURS ÉLÉ ARABE/ELEM ARABIC II,Claude Rachid
ARB1912,B,Lecture 1,1,08:30,10:00,SMD 227,COURS ÉLÉ ARABE/ELEM ARABIC II,Afifa Haddad
ARB1912,B,Lecture 2,4,10:00,11:30,SMD 227,COURS ÉLÉ ARABE/ELEM ARABIC II,Afifa Haddad
ARB1912,B,Discussion Group 1,4,09:00,10:00,TBT 319,COURS ÉLÉ ARABE/ELEM ARABIC II,Afifa Haddad
ARB1912,C,Lecture 1,2,14:30,16:00,TBT 327,COURS ÉLÉ ARABE/ELEM ARABIC II,Afifa Haddad
ARB1912,C,Lecture 2,5,16:00,17:30,GSD 307,COURS ÉLÉ ARABE/ELEM ARABIC II,Afifa Haddad
ARB1912,C,Discussion Group 1,5,15:00,16:00,GSD 307,COURS ÉLÉ ARABE/ELEM ARABIC II,Afifa Haddad
ARB1912,D,Lecture 1,2,17:30,19:00,FSS 6032,COURS ÉLÉ ARABE/ELEM ARABIC II,Claude Rachid
