CODE,SECTION,DATE,ROOM,PROFESSOR
ANT2103,B,1461351600,Not available at this time.,Kristen Tole
ANT2103,B,1461351600,Not available at this time.,Kristen Tole
ANT2108,C,1460646000,Take Home Exam,Julie Laplante
ANT2113,A,1461438000,Not available at this time.,Liam Kilmurray
ANT2128,A,1460988000,Take Home Exam,Larisa Kurtovic
ANT2508,A,1461002400,Take Home Exam,Vincent Mirza
ANT2513,A,1461076200,Not available at this time.,Jean-Paul Mbuya Mutombo
ANT2528,A,1460678400,Not available at this time.,David Jaclin
ANT3133,A,1461178800,Not available at this time.,Hope Maclean
ANT3143,A,1460817000,Not available at this time.,Mary Margaret (Meg) Stalcup
ANT3340,A,1460730600,Not available at this time.,Deborah Sick
ANT3533,A,1460646000,Take Home Exam,Julie Laplante
ANT3540,A,1460989800,Not available at this time.,Stéphane Vibert
ANT3742,A,1461783600,Not available at this time.,Nuah Makungu Masudi
ANT4135,A,1461088800,Take Home Exam,Deborah Sick
ANT4533,A,1460653200,Take Home Exam,David Jaclin
CRM1300,F,1461456000,Not available at this time.,Christopher Greco
CRM1300,G,1461456000,Not available at this time.,Michael Kempa
CRM1300,G,1461456000,Not available at this time.,Michael Kempa
CRM1301,CJ,1461801600,Not available at this time.,
CRM1301,D,1461594600,Not available at this time.,Christine Gervais
CRM1301,D,1461594600,Not available at this time.,Christine Gervais
CRM1301,E,1461801600,Not available at this time.,Prashan Ranasinghe
CRM1301,HJ,1461801600,Not available at this time.,
CRM1301,PJ,1461801600,Not available at this time.,
CRM1700,D,1461456000,Not available at this time.,Sébastien Lachambre
CRM1700,D,1461456000,Not available at this time.,Sébastien Lachambre
CRM1701,D,1461594600,Not available at this time.,Marie-Lyne Vachon
CRM2300,B,1461006000,Not available at this time.,Vajmeh Tabibi
CRM2300,C,1461006000,Not available at this time.,Vajmeh Tabibi
CRM2301,B,1460727000,Take Home Exam,Christine Gervais
CRM2303,B,1460660400,Not available at this time.,Jeffrey Monaghan
CRM2305,B,1461196800,Not available at this time.,Jeffrey Monaghan
CRM2306,C,1461610800,Not available at this time.,Kate Fletcher
CRM2307,B,1461628800,Not available at this time.,Zoi Coucopoulos
CRM2308,B,1461697200,Not available at this time.,Sarah Heath
CRM2309,C,1460640600,Take Home Exam,Erin McCuaig-Lambrinakos
CRM2310,A,1461542400,Not available at this time.,Michel Doiron
CRM2310,A,1461542400,Not available at this time.,Michel Doiron
CRM2310,B,1461693600,Take Home Exam,Kate Fletcher
CRM2700,B,1461006000,Not available at this time.,Marcus Léonard
CRM2701,B,1460746800,Not available at this time.,Patrick Savoie
CRM2701,B,1460746800,Not available at this time.,Patrick Savoie
CRM2703,B,1460991600,Take Home Exam,Carolyn Côté-Lussier
CRM2706,A,1461610800,Not available at this time.,Sandra Lehalle
CRM2708,A,1460739600,Take Home Exam,Claire Delisle
CRM2709,B,1461265200,Not available at this time.,Betty Baba
CRM2710,B,1461542400,Not available at this time.,Nelson Arturo Ovalle Diaz
CRM3301,C,1460644200,Not available at this time.,Jeffrey Monaghan
CRM3301,D,1460727000,Take Home Exam,Laura Shantz
CRM3303,A,1461283200,Not available at this time.,Michel Doiron
CRM3303,B,1460640600,Take Home Exam,Erin McCuaig-Lambrinakos
CRM3305,B,1460746800,Take Home Exam,Michael Kempa
CRM3306,B,1461348000,Take Home Exam,Tuulia Law
CRM3307,A,1461333600,Take Home Exam,Lori Stinson
CRM3311,B,1460640600,Take Home Exam,Erin McCuaig-Lambrinakos
CRM3312,B,1460995200,Take Home Exam,Carolyn Gordon
CRM3314,B,1461456000,Not available at this time.,Eugene Oscapella
CRM3316,A,1461331800,Take Home Exam,Laura Shantz
CRM3317,B,1461790800,Take Home Exam,Deborah Landry
CRM3322,A,1460851200,Not available at this time.,Michelle Mann-Rempel
CRM3323,A,1460669400,Take Home Exam,Salamat Tabbasum
CRM3334,C,1460833200,Not available at this time.,Ronald-Frans Melchers
CRM3334,D,1460833200,Not available at this time.,Sarah Heath
CRM3701,C,1460644200,Not available at this time.,Sophie Cousineau
CRM3701,D,1460644200,Not available at this time.,Sophie Cousineau
CRM3703,C,1460644200,Take Home Exam,Marie-Lyne Vachon
CRM3705,A,1461006000,Take Home Exam,Line Beauchesne
CRM3707,A,1461362400,Take Home Exam,Zoi Coucopoulos
CRM3711,A,1461006000,Not available at this time.,Alexandre Pelletier-Audet
CRM3714,A,1461351600,Not available at this time.,Line Beauchesne
CRM3719,A,1460764800,Not available at this time.,Françoise Vanhamme
CRM3723,A,1460667600,Take Home Exam,David Moffette
CRM3724,A,1461456000,Not available at this time.,Haythem Euchi
CRM3734,C,1460833200,Not available at this time.,Ibtihel Bouchoucha
CRM4302,D,1460991600,Take Home Exam,Vajmeh Tabibi
CRM4303,A,1461693600,Take Home Exam,Kate Fletcher
CRM4304,D,1461790800,Take Home Exam,Deborah Landry
CRM4304,E,1461002400,Take Home Exam,Jonathan Frauley
CRM4304,F,1461790800,Take Home Exam,Deborah Landry
CRM4305,A,1460991600,Take Home Exam,Maritza Felices-Luna
CRM4311,A,1460649600,Take Home Exam,Steven Bittle
CRM4317,B,1460728800,Take Home Exam,
CRM4702,B,1460997000,Take Home Exam,Claire Delisle
CRM4702,C,1461333600,Take Home Exam,Sandra Lehalle
CRM4703,A,1461090600,Take Home Exam,Geneviève Laramée
CRM4704,C,1460836800,Take Home Exam,Jean-Paul Mbuya Mutombo
CRM4704,D,1460664000,Take Home Exam,Jean-Paul Mbuya Mutombo
CRM4704,E,1461783600,Not available at this time.,Ibtihel Bouchoucha
CRM4706,A,1461002400,Take Home Exam,Véronique Strimelle
CRM4716,A,1460916000,Take Home Exam,Louise Fines
CRM4717,B,1460728800,Take Home Exam,
DVM2106,A,1461358800,Take Home Exam,
DVM2110,A,1461092400,Not available at this time.,Ishara Mahat
DVM2350,B,1461697200,Not available at this time.,Mahmoud Masaeli
DVM2506,A,1461249000,Not available at this time.,Pierre Beaudet
DVM2510,A,1460667600,Take Home Exam,Andrea Martinez
DVM2750,A,1461697200,Not available at this time.,Raphaël Canet
DVM2750,A,1461697200,Not available at this time.,Raphaël Canet
DVM3105,A,1461596400,Take Home Exam,Sonia Gulati
DVM3130,A,1460833200,Not available at this time.,Mahmoud Masaeli
DVM3140,A,1460581200,Take Home Exam,Salamat Tabbasum
DVM3350,B,1461783600,Not available at this time.,Mahmoud Masaeli
DVM3505,A,1461178800,Not available at this time.,Rahim Baba
DVM3530,A,1460671200,Take Home Exam,Raphaël Canet
DVM3540,B,1461090600,Take Home Exam,Nasser Ary Tanimoune
DVM3750,A,1461272400,Take Home Exam,Susan Spronk
DVM4120,B,1460989800,Not available at this time.,
DVM4130,A,1460667600,Take Home Exam,
DVM4140,A,1460656800,Take Home Exam,
DVM4150,A,1460656800,Take Home Exam,
DVM4154,A,1461358800,Take Home Exam,
DVM4552,A,1461090600,Take Home Exam,
DVM4554,A,1461099600,Take Home Exam,
DVM4730,A,1461020400,Take Home Exam,
ECH2730,A,1460989800,Not available at this time.,Marie-Eve Desrosiers
ECH3310,A,1460817000,Not available at this time.,Mathieu Landriault
ECH3330,C,1461335400,Not available at this time.,Rita Abrahamsen
ECH3720,A,1461249000,Not available at this time.,Mathieu Landriault
ECH3730,B,1461335400,Not available at this time.,Mathieu Landriault
ECH4310,B,1461681000,Not available at this time.,Iain McKenna
ECH4320,A,1461438000,Not available at this time.,Jean-François Ratelle
ECH4330,D,1461594600,Not available at this time.,Jean-François Ratelle
ECH4335,A,1461076200,Not available at this time.,Peter Jones
ECH4355,A,1460989800,Not available at this time.,Costanza Musu
ECH4710,B,1461681000,Not available at this time.,Moda Dieng
ECH4725,A,1460989800,Not available at this time.,Gilles Breton
ECH4735,A,1461076200,Not available at this time.,Moda Dieng
ECH4750,A,1460660400,Not available at this time.,Thomas Juneau
ECO1102,D,1461783600,Not available at this time.,David Gray
ECO1102,D,1461783600,Not available at this time.,David Gray
ECO1102,D,1461783600,Not available at this time.,David Gray
ECO1102,D,1461783600,Not available at this time.,David Gray
ECO1102,D,1461783600,Not available at this time.,David Gray
ECO1102,E,1461783600,Not available at this time.,Najib Khan
ECO1102,E,1461783600,Not available at this time.,Najib Khan
ECO1102,F,1461783600,Not available at this time.,Lawrence Harris
ECO1102,G,1461783600,Not available at this time.,Octavian Strîmbu
ECO1102,G,1461783600,Not available at this time.,Octavian Strîmbu
ECO1104,F,1460746800,Not available at this time.,Lawrence Harris
ECO1104,F,1460746800,Not available at this time.,Lawrence Harris
ECO1104,G,1460746800,Not available at this time.,Duangsuda Sopchokchai
ECO1104,G,1460746800,Not available at this time.,Duangsuda Sopchokchai
ECO1192,C,1461024000,Not available at this time.,Claude Théoret
ECO1192,C,1461024000,Not available at this time.,Claude Théoret
ECO1192,D,1461024000,Not available at this time.,Faisal Arif
ECO1192,D,1461024000,Not available at this time.,Faisal Arif
ECO1302,A,1461351600,Not available at this time.,Mario Seccareccia
ECO1502,C,1461783600,Not available at this time.,Komlan Fiodendji
ECO1502,C,1461783600,Not available at this time.,Komlan Fiodendji
ECO1502,D,1461783600,Not available at this time.,Mahamoud Houssein
ECO1502,D,1461783600,Not available at this time.,Mahamoud Houssein
ECO1504,D,1460746800,Not available at this time.,Komlan Fiodendji
ECO1504,D,1460746800,Not available at this time.,Komlan Fiodendji
ECO1592,B,1461024000,Not available at this time.,Marc Prud'Homme
ECO1702,A,1461351600,Not available at this time.,Claude Parthenay
ECO2111,A,1460989800,Not available at this time.,Gordon Lenjosek
ECO2114,A,1460746800,Not available at this time.,David Gray
ECO2117,B,1461076200,Not available at this time.,Octavian Strîmbu
ECO2117,B,1461076200,Not available at this time.,Octavian Strîmbu
ECO2121,B,1461542400,Not available at this time.,Ram Acharya
ECO2121,B,1461542400,Not available at this time.,Ram Acharya
ECO2123,A,1461628800,Not available at this time.,Myra Yazbeck
ECO2142,C,1461421800,Not available at this time.,Gordon Lenjosek
ECO2143,B,1461767400,Not available at this time.,Greg Caldwell
ECO2143,B,1461767400,Not available at this time.,Greg Caldwell
ECO2144,C,1461335400,Not available at this time.,Kathleen Day
ECO2145,B,1460730600,Not available at this time.,Pierre Brochu
ECO2145,B,1460730600,Not available at this time.,Pierre Brochu
ECO2147,B,1461369600,Not available at this time.,Marc Prud'Homme
ECO2510,A,1461421800,Not available at this time.,Claude Théoret
ECO2514,A,1461283200,Not available at this time.,Mahamoud Houssein
ECO2515,A,1461801600,Not available at this time.,Jean-Francois Nadeau
ECO2521,B,1461542400,Not available at this time.,Alex Aqallal
ECO2543,A,1461767400,Not available at this time.,Jean-François Tremblay
ECO2545,A,1460730600,Not available at this time.,Victoria Barham
ECO3111,A,1460833200,Not available at this time.,Ram Acharya
ECO3139,B,1461162600,Not available at this time.,Gamal Atallah
ECO3150,D,1461628800,Not available at this time.,Mohammed Rafiquzzaman
ECO3151,C,1461265200,Not available at this time.,Pierre Brochu
ECO3151,D,1461265200,Not available at this time.,Jason Garred
ECO3153,B,1461438000,Not available at this time.,Paul Makdissi
ECO3532,A,1460989800,Not available at this time.,Claude Parthenay
ECO3551,A,1461265200,Not available at this time.,Gilles Grenier
ECO3553,A,1461438000,Not available at this time.,Roland Pongou
ECO4114,A,1461178800,Not available at this time.,Marc Lavoie
ECO4121,A,1460660400,Not available at this time.,Michael Shiell
ECO4136,A,1461162600,Not available at this time.,Alexandre Sauquet
ECO4170,A,1460644200,Not available at this time.,Nguyen Quyen
ECO4185,A,1461265200,Not available at this time.,Maral Kichian
ECO4199,A,1461783600,Not available at this time.,Kevin Page
ECO4521,A,1460660400,Not available at this time.,Victoria Barham
ECO4586,A,1460746800,Not available at this time.,Gilles Grenier
FEM1100,C,1461715200,Not available at this time.,Corrie Scott
FEM1100,C,1461715200,Not available at this time.,Corrie Scott
FEM1100,D,1461715200,Not available at this time.,Shelley Rabinovitch
FEM1100,D,1461715200,Not available at this time.,Shelley Rabinovitch
FEM1500,B,1461715200,Not available at this time.,Sheena Gourlay
FEM1500,B,1461715200,Not available at this time.,Sheena Gourlay
FEM2104,A,1460736000,Take Home Exam,Émilie Dionne
FEM2109,B,1460989800,Not available at this time.,Ishara Mahat
FEM2110,B,1460730600,Not available at this time.,Mythili Rajiva
FEM2110,B,1460730600,Not available at this time.,Mythili Rajiva
FEM3107,A,1460642400,Take Home Exam,Alexandre Baril
FEM3500,A,1460746800,Not available at this time.,Christian Bergeron
FEM3505,A,1460642400,Take Home Exam,Alexandre Baril
GRT2111,A,1461006000,Not available at this time.,Vanessa Taler
GRT2111,A,1461006000,Not available at this time.,Vanessa Taler
GRT2511,A,1461006000,Not available at this time.,Gabriel Kashindi
GRT4120,A,1460554200,Take Home Exam,Bonnie Schroeder
GRT4520,A,1461351600,Take Home Exam,Martine Surprenant
GRT4530,A,1461783600,Not available at this time.,Sylvain Gagnon
PAP2320,A,1461335400,Not available at this time.,Stéphanie Viola-Plante
PAP2720,A,1461335400,Not available at this time.,Richard Leduc
PAP3310,A,1461076200,Not available at this time.,Ivan Katchanovski
PAP3350,B,1461456000,Not available at this time.,David Brown
PAP3360,A,1461628800,Not available at this time.,Michael Temelini
PAP3370,B,1460989800,Not available at this time.,Joseph Roman
PAP3755,A,1460678400,Not available at this time.,Geneviève Tellier
PAP3765,A,1461162600,Not available at this time.,Stéphanie Viola-Plante
PAP3770,A,1460851200,Not available at this time.,Louis Simard
POL1101,F,1461024000,Not available at this time.,Daniel Pierre-Antoine
POL1102,C,1461006000,Not available at this time.,Tyler Attwood
POL1102,C,1461006000,Not available at this time.,Tyler Attwood
POL1102,D,1461006000,Not available at this time.,Tyler Attwood
POL1102,D,1461006000,Not available at this time.,Tyler Attwood
POL1102,E,1461006000,Not available at this time.,Ivaylo Grouev
POL1102,F,1461542400,Not available at this time.,Stephanie Mullen
POL1501,C,1460903400,Not available at this time.,Noomane Raboudi
POL1502,B,1460642400,Take Home Exam,Sylvie Paquerot
POL1502,C,1461247200,Take Home Exam,Gilles Breton
POL2101,C,1461508200,Not available at this time.,André Lecours
POL2103,D,1461283200,Not available at this time.,Joseph Roman
POL2103,E,1461162600,Not available at this time.,Ivaylo Grouev
POL2104,B,1461092400,Not available at this time.,Stephen Brown
POL2104,B,1461092400,Not available at this time.,Stephen Brown
POL2108,A,1461610800,Not available at this time.,Keith Haysom
POL2108,B,1460919600,Not available at this time.,Wolfgang Koerner
POL2108,B,1460919600,Not available at this time.,Wolfgang Koerner
POL2156,B,1461783600,Not available at this time.,Ivan Katchanovski
POL2156,C,1461369600,Not available at this time.,Stephanie Mullen
POL2501,C,1461508200,Not available at this time.,Mohammad-Ali Shirdel
POL2503,B,1461162600,Not available at this time.,Hélène Pellerin
POL2503,B,1461162600,Not available at this time.,Hélène Pellerin
POL2504,B,1461092400,Not available at this time.,André Laliberté
POL2508,A,1461002400,Take Home Exam,Emilie Bernier
POL3102,E,1461351600,Not available at this time.,Sascha Maicher
POL3102,F,1461351600,Not available at this time.,Wolfgang Koerner
POL3111,C,1460746800,Not available at this time.,Ivaylo Grouev
POL3111,D,1461438000,Not available at this time.,Roger Rickwood
POL3126,A,1461074400,Take Home Exam,Miriam Levitt
POL3144,B,1461162600,Not available at this time.,Joshua Zaato
POL3146,B,1460746800,Not available at this time.,Ryan Katz-Rosene
POL3162,C,1461265200,Not available at this time.,Adam Sandor
POL3164,A,1461092400,Not available at this time.,Rouba Al-Fattal
POL3173,A,1460644200,Not available at this time.,Joshua Zaato
POL3174,A,1461697200,Not available at this time.,André Lecours
POL3370,D,1460833200,Not available at this time.,Miriam Levitt
POL3371,B,1461697200,Not available at this time.,Simeon Mitropolitski
POL3513,A,1461801600,Not available at this time.,Hélène Pellerin
POL3515,B,1461351600,Not available at this time.,Mohammad-Ali Shirdel
POL3526,A,1461076200,Not available at this time.,Manon Tremblay
POL3533,A,1461249000,Not available at this time.,Nicolas Harvey
POL3540,A,1461594600,Not available at this time.,François Lalonde
POL3544,A,1461162600,Not available at this time.,Elie Banyongen
POL3559,A,1460656800,Take Home Exam,Julie Depelteau
POL3560,A,1460554200,Take Home Exam,Audrey L'Espérance
POL3771,A,1461697200,Not available at this time.,Simon Langlois-Bertrand
POL4124,B,1460656800,Take Home Exam,Mark Salter
POL4124,C,1461348000,Take Home Exam,Miguel De Larrinaga
POL4126,A,1460656800,Take Home Exam,
POL4140,A,1460851200,Not available at this time.,Jean-Rodrigue Paré
POL4157,A,1460656800,Take Home Exam,Patrick Fafard
POL4166,A,1461335400,Not available at this time.,Michael Temelini
POL4176,C,1461456000,Not available at this time.,Tyler Attwood
POL4188,A,1460644200,Not available at this time.,Kevin McMillan
POL4320,B,1461178800,Not available at this time.,
POL4330,C,1461002400,Take Home Exam,
POL4330,D,1461247200,Take Home Exam,
POL4330,E,1461249000,Not available at this time.,
POL4350,B,1461263400,Take Home Exam,
POL4376,B,1461767400,Not available at this time.,Joseph Roman
POL4378,A,1460833200,Not available at this time.,André Laliberté
POL4536,A,1460746800,Not available at this time.,Gilles Labelle
POL4570,A,1460746800,Not available at this time.,
POL4584,A,1460851200,Not available at this time.,Marie-Christine Doran
POL4710,A,1460660400,Not available at this time.,
POL4730,B,1461247200,Take Home Exam,
POL4750,A,1461249000,Not available at this time.,
POL4775,A,1461265200,Not available at this time.,
PSY1101,I,1461110400,Not available at this time.,Rosalinde Klempan
PSY1101,J,1461110400,Not available at this time.,Jenna Boulanger
PSY1101,J,1461110400,Not available at this time.,Jenna Boulanger
PSY1101,K,1461110400,Not available at this time.,Mark Dallas
PSY1101,K,1461110400,Not available at this time.,Mark Dallas
PSY1102,E,1461421800,Not available at this time.,Najwa Haddad
PSY1102,F,1461421800,Not available at this time.,Najwa Haddad
PSY1102,F,1461421800,Not available at this time.,Najwa Haddad
PSY1102,G,1461421800,Not available at this time.,Ersin Asliturk
PSY1102,G,1461421800,Not available at this time.,Ersin Asliturk
PSY1102,H,1461421800,Not available at this time.,Rosalinde Klempan
PSY1102,I,1461421800,Not available at this time.,Najwa Haddad
PSY1501,E,1461110400,Not available at this time.,Jean-Philippe Daoust
PSY1501,E,1461110400,Not available at this time.,Jean-Philippe Daoust
PSY1501,F,1461110400,Not available at this time.,Frédérique Wion
PSY1502,D,1461421800,Not available at this time.,Julie Marcil
PSY1502,D,1461421800,Not available at this time.,Julie Marcil
PSY1502,E,1461421800,Not available at this time.,Julie Marcil
PSY1502,E,1461421800,Not available at this time.,Julie Marcil
PSY1502,F,1461421800,Not available at this time.,Julie Marcil
PSY2105,G,1461783600,Not available at this time.,Kim Yurkowski
PSY2105,H,1460903400,Not available at this time.,Caroline Sullivan
PSY2105,I,1461783600,Not available at this time.,Stuart Hammond
PSY2106,G,1461421800,Not available at this time.,Mark Dallas
PSY2106,H,1461421800,Not available at this time.,Brenda Baird
PSY2106,I,1461421800,Not available at this time.,Brenda Baird
PSY2106,J,1461421800,Not available at this time.,Victor Emerson
PSY2110,F,1460937600,Not available at this time.,Mariusz Zadrag
PSY2110,G,1460937600,Not available at this time.,Daniel Bentley
PSY2110,H,1460937600,Not available at this time.,Marie-Lyne Laliberté
PSY2110,I,1460937600,Not available at this time.,Marie-Lyne Laliberté
PSY2110,J,1460937600,Not available at this time.,Daniel Bentley
PSY2114,C,1461456000,Not available at this time.,Wendy Lee
PSY2114,C,1461456000,Not available at this time.,Wendy Lee
PSY2116,C,1461024000,Not available at this time.,Meredith Rocchi
PSY2116,D,1461024000,Not available at this time.,Sharon Lee
PSY2116,E,1461024000,Not available at this time.,Sharon Lee
PSY2116,F,1461024000,Not available at this time.,John Donohue
PSY2116,G,1461024000,Not available at this time.,Sharon Lee
PSY2174,G,1461542400,Not available at this time.,Andree-Anne Ledoux
PSY2174,H,1461542400,Not available at this time.,Yaroslav Konar
PSY2174,I,1461542400,Not available at this time.,Yaroslav Konar
PSY2174,J,1461542400,Not available at this time.,Victor Emerson
PSY2174,K,1461542400,Not available at this time.,Yaroslav Konar
PSY2301,D,1461162600,Not available at this time.,Andree-Anne Ledoux
PSY2301,E,1461162600,Not available at this time.,Sarah Schock
PSY2505,E,1460919600,Not available at this time.,Patricia Brosseau-Liard
PSY2505,F,1460919600,Not available at this time.,Patricia Brosseau-Liard
PSY2510,C,1461681000,Not available at this time.,Evelyne Girard
PSY2516,B,1461421800,Not available at this time.,Simon Beaudry
PSY2516,C,1461421800,Not available at this time.,Daniel Coulombe
PSY2516,D,1461421800,Not available at this time.,Daniel Coulombe
PSY2574,C,1460644200,Not available at this time.,Isabelle Boutet
PSY2574,D,1461783600,Not available at this time.,Emilie Gravel
PSY2701,B,1461162600,Not available at this time.,Hélène Plamondon
PSY3101,C,1461421800,Not available at this time.,Mary-Theresa Howard
PSY3101,D,1461421800,Not available at this time.,Mary-Theresa Howard
PSY3102,C,1461508200,Not available at this time.,John Haltigan
PSY3102,D,1461508200,Not available at this time.,Rosalinde Klempan
PSY3103,D,1460678400,Not available at this time.,Christine Boisvert
PSY3103,F,1460678400,Not available at this time.,Christine Boisvert
PSY3103,G,1460678400,Not available at this time.,Christine Boisvert
PSY3105,C,1460919600,Not available at this time.,Philip Wall
PSY3105,C,1460919600,Not available at this time.,Philip Wall
PSY3105,D,1460919600,Not available at this time.,Philip Wall
PSY3108,C,1461178800,Not available at this time.,Charles Collin
PSY3108,D,1461178800,Not available at this time.,Charles Collin
PSY3109,C,1461076200,Not available at this time.,Jeannette Benson
PSY3109,C,1461076200,Not available at this time.,Jeannette Benson
PSY3121,C,1461196800,Not available at this time.,Evelyne Girard
PSY3122,E,1461110400,Not available at this time.,Lisa Henry
PSY3122,E,1461110400,Not available at this time.,Lisa Henry
PSY3122,F,1461767400,Not available at this time.,Yaroslavna Kadulina
PSY3122,G,1461110400,Not available at this time.,Peggy Kleinplatz
PSY3123,C,1461335400,Not available at this time.,Genevieve Monaghan
PSY3123,D,1461283200,Not available at this time.,Julie Desjardins
PSY3126,A,1460746800,Not available at this time.,Daniel Bentley
PSY3128,B,1461351600,Not available at this time.,Shirley Griffith
PSY3136,B,1460833200,Not available at this time.,Christopher Fennell
PSY3171,E,1460851200,Not available at this time.,Brenda Baird
PSY3171,F,1461092400,Not available at this time.,Guergana Mileva
PSY3171,G,1461092400,Not available at this time.,Shirley Griffith
PSY3173,B,1461767400,Not available at this time.,Martin Lalumiere
PSY3173,C,1461801600,Not available at this time.,Sharon Kennedy
PSY3301,B,1461438000,Not available at this time.,Andra Smith
PSY3303,D,1461594600,Not available at this time.,Dave Miranda
PSY3303,E,1461594600,Not available at this time.,Mariusz Zadrag
PSY3306,B,1460746800,Not available at this time.,Shirley Griffith
PSY3377,B,1461265200,Not available at this time.,Yaroslav Konar
PSY3377,C,1461265200,Not available at this time.,Sylvain Gagnon
PSY3502,B,1461508200,Not available at this time.,Evelyne Girard
PSY3503,B,1461006000,Not available at this time.,Nathalie Le Marec
PSY3508,A,1461681000,Not available at this time.,Isabelle Boutet
PSY3508,B,1461681000,Not available at this time.,Isabelle Boutet
PSY3509,A,1461076200,Not available at this time.,Patrick Gaudreau
PSY3522,C,1461110400,Not available at this time.,Lisa Henry
PSY3523,B,1461335400,Not available at this time.,Julie Desjardins
PSY3528,A,1461351600,Not available at this time.,Chantal Lafleur
PSY3535,A,1461249000,Not available at this time.,Jean-François Bureau
PSY3542,A,1460746800,Not available at this time.,Hélène Plamondon
PSY3571,C,1460851200,Not available at this time.,Nathalie Le Marec
PSY3703,A,1461594600,Not available at this time.,Marie Gingras
PSY3707,B,1461801600,Not available at this time.,Marie-Lyne Laliberté
PSY3777,A,1461265200,Not available at this time.,Denis Cousineau
PSY4105,B,1460644200,Not available at this time.,Elisa Romano
PSY4122,B,1461283200,Not available at this time.,Peggy Kleinplatz
PSY4130,C,1461783600,Not available at this time.,Danielle Impey
PSY4174,A,1461162600,Not available at this time.,
PSY4327,B,1461628800,Not available at this time.,Marcel Viens
PSY4327,C,1461628800,Not available at this time.,Kathleen Biard
PSY4505,A,1460644200,Not available at this time.,Caroline Sullivan
PSY4530,B,1461783600,Not available at this time.,Dave Miranda
PSY4574,A,1461162600,Not available at this time.,
PSY4791,A,1460989800,Not available at this time.,
SCS1150,H,1460644200,Not available at this time.,Mihai Sarbu
SCS1150,I,1460644200,Not available at this time.,Paul Thibaudeau
SCS1160,A,1461249000,Not available at this time.,Andreas Buss
SCS1550,E,1460644200,Not available at this time.,Pierre Boyer
SCS1560,A,1461249000,Not available at this time.,Noomane Raboudi
SCS2100,A,1461006000,Not available at this time.,Aggey Semenov
SCS2150,D,1460660400,Not available at this time.,Hope Maclean
SCS2150,F,1460660400,Not available at this time.,Ivan Katchanovski
